available cuda: 2
Loaded pretrained weights for efficientnet-b0
load model from checkpoint, threshold: [0.64108346 1.62551051 2.37378808 2.91143721 3.6939839 ], valid score: 0.875
training started: Jun10_22-05-46
epoch:00, train:0.356, valid:0.286, threshold: [0.62105848 1.69658864 2.35701415 2.84278455 3.65137064], score:0.873, best:0.875, date:Jun10_22-11-45
epoch:01, train:0.367, valid:0.288, threshold: [0.7336337  1.36498048 1.87625778 2.75423775 3.42067084], score:0.869, best:0.875, date:Jun10_22-17-35
epoch:02, train:0.350, valid:0.280, threshold: [0.7179546  1.53109116 2.37518564 2.91774364 3.7888318 ], score:0.875, best:0.875, date:Jun10_22-23-25
epoch:03, train:0.358, valid:0.281, threshold: [0.61540083 1.73338    2.31118466 2.89996576 3.89534023], score:0.871, best:0.875, date:Jun10_22-29-13
epoch:04, train:0.354, valid:0.286, threshold: [0.58811662 1.69712568 2.16546055 2.69568693 3.82325995], score:0.870, best:0.875, date:Jun10_22-35-02
epoch:05, train:0.352, valid:0.272, threshold: [0.61058787 1.69398111 2.26252159 2.9758368  3.81524366], score:0.875, best:0.875, date:Jun10_22-40-53
epoch:06, train:0.350, valid:0.291, threshold: [0.64077147 1.50648907 2.3991131  2.95116925 3.89716218], score:0.865, best:0.875, date:Jun10_22-46-44
epoch:07, train:0.336, valid:0.292, threshold: [0.68594852 1.68773517 2.20292108 2.72781949 3.74027702], score:0.871, best:0.875, date:Jun10_22-52-35
epoch:08, train:0.342, valid:0.284, threshold: [0.69222173 1.56119035 2.20870787 2.87127958 3.53318584], score:0.875, best:0.875, date:Jun10_22-58-25
epoch:09, train:0.339, valid:0.286, threshold: [0.65011027 1.4434964  2.18256319 2.86162205 3.78576214], score:0.873, best:0.875, date:Jun10_23-04-17
epoch:10, train:0.332, valid:0.281, threshold: [0.5857255  1.59798166 2.05866036 2.83025101 4.01279082], score:0.872, best:0.875, date:Jun10_23-10-06
epoch:11, train:0.337, valid:0.285, threshold: [0.63771636 1.57847359 2.29573481 2.83413512 3.87828745], score:0.872, best:0.875, date:Jun10_23-15-56
epoch:12, train:0.331, valid:0.284, threshold: [0.62656578 1.72864441 2.20679849 2.82930702 3.76404059], score:0.874, best:0.875, date:Jun10_23-21-46
epoch:13, train:0.318, valid:0.320, threshold: [0.66584902 1.23214169 1.95107345 2.49269727 3.42031579], score:0.873, best:0.875, date:Jun10_23-27-36
epoch:14, train:0.324, valid:0.278, threshold: [0.63318028 1.57902549 2.05712891 2.78329524 3.92040314], score:0.874, best:0.875, date:Jun10_23-33-25
epoch:15, train:0.321, valid:0.284, threshold: [0.64897571 1.63209112 2.09995374 2.69453429 3.73466448], score:0.874, best:0.875, date:Jun10_23-39-16
epoch:16, train:0.325, valid:0.300, threshold: [0.65638172 1.71246905 2.05149939 2.59782198 3.68719943], score:0.873, best:0.875, date:Jun10_23-45-05
epoch:17, train:0.309, valid:0.287, threshold: [0.64092261 1.54545553 2.35742802 2.66985641 3.74976042], score:0.869, best:0.875, date:Jun10_23-50-54
epoch:18, train:0.325, valid:0.276, threshold: [0.59619092 1.62202901 2.5966598  2.9638835  4.04134943], score:0.875, best:0.875, date:Jun10_23-56-44
epoch:19, train:0.319, valid:0.285, threshold: [0.72098713 1.64654971 2.23016235 2.84535396 3.6811363 ], score:0.879, best:0.879, date:Jun11_00-02-34
epoch:20, train:0.317, valid:0.269, threshold: [0.6000414  1.65246557 2.43737837 2.89050873 3.98712602], score:0.874, best:0.879, date:Jun11_00-08-24
epoch:21, train:0.323, valid:0.278, threshold: [0.5946666  1.448755   2.13477307 2.81206126 3.77397518], score:0.875, best:0.879, date:Jun11_00-14-16
epoch:22, train:0.320, valid:0.294, threshold: [0.64089811 1.67411808 2.05672934 2.62379225 3.51903339], score:0.876, best:0.879, date:Jun11_00-20-06
epoch:23, train:0.311, valid:0.276, threshold: [0.63041677 1.53716297 2.25926902 2.80448959 3.76658607], score:0.878, best:0.879, date:Jun11_00-25-54
epoch:24, train:0.327, valid:0.276, threshold: [0.73265114 1.49003479 2.30572679 2.83372096 3.76515623], score:0.877, best:0.879, date:Jun11_00-31-44
epoch:25, train:0.315, valid:0.287, threshold: [0.61814293 1.58357887 2.2183832  2.84182187 3.79027519], score:0.875, best:0.879, date:Jun11_00-37-35
epoch:26, train:0.304, valid:0.279, threshold: [0.64589701 1.61679719 1.96950479 2.81123758 3.77744885], score:0.872, best:0.879, date:Jun11_00-43-28
epoch:27, train:0.288, valid:0.271, threshold: [0.60837928 1.53251483 2.20115452 2.8348063  3.7671438 ], score:0.875, best:0.879, date:Jun11_00-49-18
epoch:28, train:0.289, valid:0.306, threshold: [0.67366885 1.79571207 2.20767258 2.3970751  3.46436255], score:0.857, best:0.879, date:Jun11_00-55-07
epoch:29, train:0.301, valid:0.295, threshold: [0.65899439 1.72594895 2.11273636 2.66076927 3.7142093 ], score:0.873, best:0.879, date:Jun11_01-01-00
epoch:30, train:0.315, valid:0.280, threshold: [0.6404839  1.72393961 2.2292027  2.60369248 3.75969856], score:0.869, best:0.879, date:Jun11_01-06-50
epoch:31, train:0.315, valid:0.285, threshold: [0.60818446 1.6502291  2.18169031 2.67368002 3.66793601], score:0.873, best:0.879, date:Jun11_01-12-41
epoch:32, train:0.311, valid:0.283, threshold: [0.67693268 1.74753714 2.38563118 3.00755309 3.77087714], score:0.871, best:0.879, date:Jun11_01-18-31
epoch:33, train:0.319, valid:0.285, threshold: [0.64582465 1.57542713 2.16495051 2.73006098 3.56527568], score:0.874, best:0.879, date:Jun11_01-24-22
epoch:34, train:0.300, valid:0.275, threshold: [0.6067279  1.64512412 2.30918421 2.83086468 3.7997287 ], score:0.874, best:0.879, date:Jun11_01-30-11
epoch:35, train:0.322, valid:0.278, threshold: [0.66209203 1.4716301  2.34950785 2.97594792 3.89182912], score:0.872, best:0.879, date:Jun11_01-36-02
epoch:36, train:0.306, valid:0.275, threshold: [0.60464784 1.64847583 2.27655963 2.77213033 3.68589032], score:0.872, best:0.879, date:Jun11_01-41-51
epoch:37, train:0.299, valid:0.283, threshold: [0.59193219 1.49948853 2.10495957 2.66694908 3.84325061], score:0.876, best:0.879, date:Jun11_01-47-41
epoch:38, train:0.302, valid:0.306, threshold: [0.66543436 1.27271303 1.8617623  2.51436863 3.5890402 ], score:0.873, best:0.879, date:Jun11_01-53-30
epoch:39, train:0.293, valid:0.290, threshold: [0.66321748 1.5072427  2.22350892 2.82735838 3.9347136 ], score:0.868, best:0.879, date:Jun11_01-59-18
epoch:40, train:0.332, valid:0.284, threshold: [0.6538497  1.50468677 2.35577503 2.95492905 3.90785607], score:0.873, best:0.879, date:Jun11_02-05-08
epoch:41, train:0.312, valid:0.270, threshold: [0.6007846  1.67658847 2.31327654 2.92043351 3.90348554], score:0.875, best:0.879, date:Jun11_02-10-59
epoch:42, train:0.318, valid:0.285, threshold: [0.66356096 1.50554585 2.27127322 2.7413035  3.76884684], score:0.874, best:0.879, date:Jun11_02-16-53
epoch:43, train:0.337, valid:0.278, threshold: [0.64582154 1.71202768 2.08937091 2.67761866 3.87576323], score:0.875, best:0.879, date:Jun11_02-22-42
epoch:44, train:0.334, valid:0.291, threshold: [0.62436077 1.80099163 2.1488643  2.54945127 3.7197687 ], score:0.864, best:0.879, date:Jun11_02-28-31
epoch:45, train:0.337, valid:0.281, threshold: [0.62988372 1.56510613 2.01100189 2.74825298 3.89406114], score:0.876, best:0.879, date:Jun11_02-34-21
epoch:46, train:0.341, valid:0.278, threshold: [0.66670465 1.48288751 2.25386893 2.66320337 4.03044296], score:0.871, best:0.879, date:Jun11_02-40-12
epoch:47, train:0.342, valid:0.269, threshold: [0.60236093 1.71935318 2.26164098 2.83603492 3.90127511], score:0.874, best:0.879, date:Jun11_02-46-02
epoch:48, train:0.350, valid:0.281, threshold: [0.60459594 1.54958125 2.05786653 2.81294507 3.84729213], score:0.874, best:0.879, date:Jun11_02-51-52
epoch:49, train:0.331, valid:0.290, threshold: [0.6263329  1.30960788 1.83060664 2.71904151 3.52853748], score:0.872, best:0.879, date:Jun11_02-57-42
training finished: Jun11_02-57-42
