available cuda: 2
Loaded pretrained weights for efficientnet-b0
training started: Jun10_10-37-41
epoch:00, train:0.942, valid:0.527, threshold: [0.76103922 1.24249974 1.83000246 2.2299982  4.55218845], score:0.745, best:0.745, date:Jun10_10-43-39
epoch:01, train:0.654, valid:0.619, threshold: [0.86210105 1.2626675  1.76337716 1.98380048 2.69676977], score:0.730, best:0.745, date:Jun10_10-49-31
epoch:02, train:0.613, valid:0.529, threshold: [0.78064339 1.33492683 1.68540665 2.00289722 2.72050463], score:0.782, best:0.782, date:Jun10_10-55-21
epoch:03, train:0.584, valid:0.523, threshold: [0.76733565 1.21675947 1.57017206 1.73603282 5.99560702], score:0.780, best:0.782, date:Jun10_11-01-13
epoch:04, train:0.566, valid:0.378, threshold: [0.67858464 1.32107041 1.67656497 2.56315439 4.71273662], score:0.816, best:0.816, date:Jun10_11-07-04
epoch:05, train:0.552, valid:0.396, threshold: [0.83516423 1.45936112 1.82513528 2.74665853 3.62211828], score:0.817, best:0.817, date:Jun10_11-12-55
epoch:06, train:0.541, valid:0.386, threshold: [0.52940277 1.60728781 2.46484292 3.46978062 4.11798982], score:0.809, best:0.817, date:Jun10_11-18-46
epoch:07, train:0.535, valid:0.375, threshold: [0.61818107 1.53997738 2.06032039 2.5672227  5.03371509], score:0.819, best:0.819, date:Jun10_11-24-36
epoch:08, train:0.527, valid:0.411, threshold: [0.72390561 1.515226   1.89828426 1.92583242 4.69576333], score:0.808, best:0.819, date:Jun10_11-30-26
epoch:09, train:0.515, valid:0.415, threshold: [0.67265252 1.35105522 1.87890897 2.20370045 3.87929515], score:0.820, best:0.820, date:Jun10_11-36-17
epoch:10, train:0.480, valid:0.337, threshold: [0.60051873 1.47491902 2.1621921  2.71696627 4.1398838 ], score:0.838, best:0.838, date:Jun10_11-42-11
epoch:11, train:0.487, valid:0.379, threshold: [0.71405646 1.21340154 1.5866428  2.10579099 5.69553217], score:0.824, best:0.838, date:Jun10_11-48-03
epoch:12, train:0.481, valid:0.325, threshold: [0.61235977 1.74711051 2.00016663 2.63710098 3.93744444], score:0.844, best:0.844, date:Jun10_11-53-54
epoch:13, train:0.474, valid:0.422, threshold: [0.87619651 1.31501333 1.67409936 2.20218446 5.64664616], score:0.832, best:0.844, date:Jun10_11-59-47
epoch:14, train:0.460, valid:0.502, threshold: [0.66334338 1.33939012 1.5844117  1.82571002 5.7727121 ], score:0.813, best:0.844, date:Jun10_12-05-36
epoch:15, train:0.464, valid:0.321, threshold: [0.64590644 1.55882745 2.3754193  2.8035212  3.81523884], score:0.844, best:0.844, date:Jun10_12-11-28
epoch:16, train:0.465, valid:0.315, threshold: [0.61309998 1.75194609 2.1576116  2.89305495 3.66970126], score:0.850, best:0.850, date:Jun10_12-17-19
epoch:17, train:0.462, valid:0.308, threshold: [0.69777572 1.64652213 2.36674865 2.68880555 3.51706818], score:0.852, best:0.852, date:Jun10_12-23-10
epoch:18, train:0.447, valid:0.369, threshold: [0.77360313 1.31144239 1.7425067  2.56400152 3.29454172], score:0.848, best:0.852, date:Jun10_12-29-02
epoch:19, train:0.456, valid:0.359, threshold: [0.66676353 1.34014155 1.88800492 2.39011262 3.23868856], score:0.853, best:0.853, date:Jun10_12-34-53
epoch:20, train:0.444, valid:0.304, threshold: [0.63968849 1.58321912 2.33083514 2.82847261 3.57355133], score:0.854, best:0.854, date:Jun10_12-40-43
epoch:21, train:0.431, valid:0.287, threshold: [0.6035316  1.60745178 2.43542014 2.92352615 3.70167793], score:0.860, best:0.860, date:Jun10_12-46-34
epoch:22, train:0.424, valid:0.284, threshold: [0.54179763 1.56651346 2.46814109 3.12731922 3.83110313], score:0.855, best:0.860, date:Jun10_12-52-25
epoch:23, train:0.422, valid:0.306, threshold: [0.65415499 1.55619136 2.08362271 2.43640562 4.36488175], score:0.851, best:0.860, date:Jun10_12-58-16
epoch:24, train:0.416, valid:0.318, threshold: [0.68761038 1.58341958 2.09520845 2.86428016 3.85314517], score:0.855, best:0.860, date:Jun10_13-04-07
epoch:25, train:0.421, valid:0.283, threshold: [0.60152379 1.59480572 2.27224368 2.82916993 3.65878212], score:0.865, best:0.865, date:Jun10_13-09-57
epoch:26, train:0.421, valid:0.292, threshold: [0.64641559 1.6797833  2.03447606 2.57291617 3.48249966], score:0.858, best:0.865, date:Jun10_13-15-48
epoch:27, train:0.415, valid:0.310, threshold: [0.71935571 1.54348208 2.05745687 2.7954681  3.45396815], score:0.855, best:0.865, date:Jun10_13-21-39
epoch:28, train:0.409, valid:0.297, threshold: [0.64764864 1.79325252 2.26841255 2.64533773 3.49458452], score:0.857, best:0.865, date:Jun10_13-27-30
epoch:29, train:0.413, valid:0.324, threshold: [0.66118536 1.5146259  1.86478635 2.69780691 3.4260621 ], score:0.867, best:0.867, date:Jun10_13-33-21
