available cuda: 2
Loaded pretrained weights for efficientnet-b1
training started: Jun10_13-13-29
epoch:00, train:0.951, valid:0.704, threshold: [0.73284744 1.33567804 1.9215165  2.20460477 5.43424094], score:0.579, best:0.579, date:Jun10_13-21-54
epoch:01, train:0.673, valid:0.594, threshold: [0.66888003 1.50767939 1.77846423 2.10367344 5.29979084], score:0.686, best:0.686, date:Jun10_13-30-11
epoch:02, train:0.641, valid:0.596, threshold: [0.79602256 1.14843705 1.63031631 2.09000036 5.76219503], score:0.733, best:0.733, date:Jun10_13-38-27
epoch:03, train:0.610, valid:0.432, threshold: [0.59778484 1.72352376 2.17096925 2.65936592 4.65930611], score:0.791, best:0.791, date:Jun10_13-46-44
epoch:04, train:0.601, valid:0.674, threshold: [0.71896424 1.47112682 1.74387946 2.13205727 5.8280974 ], score:0.656, best:0.791, date:Jun10_13-55-00
epoch:05, train:0.610, valid:0.475, threshold: [0.75828492 1.53174575 1.99990645 2.51133665 3.86884997], score:0.797, best:0.797, date:Jun10_14-03-17
epoch:06, train:0.589, valid:0.438, threshold: [0.66782654 1.58582009 2.43373246 2.92248816 3.53160192], score:0.786, best:0.797, date:Jun10_14-11-33
epoch:07, train:0.591, valid:0.636, threshold: [0.62782817 0.92565142 1.50478088 3.94326441 4.50616447], score:0.702, best:0.797, date:Jun10_14-19-51
epoch:08, train:0.567, valid:0.481, threshold: [0.74062985 1.14709681 1.69230117 2.11100149 5.68555821], score:0.795, best:0.797, date:Jun10_14-28-09
epoch:09, train:0.552, valid:0.660, threshold: [0.52738889 1.48874987 1.56600336 3.84199489 4.94782481], score:0.628, best:0.797, date:Jun10_14-36-27
epoch:10, train:0.539, valid:0.377, threshold: [0.5872958  1.81816354 2.2956424  2.47135072 4.65023811], score:0.810, best:0.810, date:Jun10_14-44-46
epoch:11, train:0.528, valid:0.420, threshold: [0.69921628 1.40454318 1.90793846 2.46609584 3.6375831 ], score:0.831, best:0.831, date:Jun10_14-53-03
epoch:12, train:0.523, valid:0.423, threshold: [0.72749604 1.48528967 1.76549634 2.39821072 4.36446823], score:0.833, best:0.833, date:Jun10_15-01-19
epoch:13, train:0.517, valid:0.392, threshold: [0.83677373 1.52341812 1.86781099 2.2789268  3.14800721], score:0.834, best:0.834, date:Jun10_15-09-36
epoch:14, train:0.508, valid:0.396, threshold: [0.74292943 1.34465274 1.94414966 2.63681707 3.49844858], score:0.839, best:0.839, date:Jun10_15-17-52
epoch:15, train:0.512, valid:0.409, threshold: [0.85833488 1.56794994 2.04896079 2.334651   3.22969281], score:0.845, best:0.845, date:Jun10_15-26-11
epoch:16, train:0.496, valid:0.399, threshold: [0.60524193 2.019717   2.14466817 2.42163722 3.36563354], score:0.820, best:0.845, date:Jun10_15-34-27
epoch:17, train:0.497, valid:0.432, threshold: [0.78034258 1.21406435 1.69654846 2.4297497  3.10432845], score:0.821, best:0.845, date:Jun10_15-42-44
epoch:18, train:0.492, valid:0.351, threshold: [0.71159785 1.49984466 2.13051787 2.63861345 3.67758603], score:0.847, best:0.847, date:Jun10_15-51-01
epoch:19, train:0.499, valid:0.404, threshold: [0.56403414 1.53014429 1.93326588 2.36452508 4.76172763], score:0.825, best:0.847, date:Jun10_15-59-17
epoch:20, train:0.479, valid:0.343, threshold: [0.70210964 1.61263559 2.2612511  2.47845492 3.57688288], score:0.851, best:0.851, date:Jun10_16-07-37
epoch:21, train:0.458, valid:0.332, threshold: [0.73951456 1.47224684 2.16978139 2.55734844 3.6905015 ], score:0.861, best:0.861, date:Jun10_16-15-54
epoch:22, train:0.459, valid:0.302, threshold: [0.66209485 1.63564312 2.3084805  3.01643695 4.24202119], score:0.863, best:0.863, date:Jun10_16-24-13
epoch:23, train:0.461, valid:0.309, threshold: [0.66435064 1.60056254 2.13741646 2.55964578 3.91986165], score:0.861, best:0.863, date:Jun10_16-32-33
epoch:24, train:0.459, valid:0.322, threshold: [0.63559358 1.7489477  2.06125946 2.40665195 4.06733725], score:0.853, best:0.863, date:Jun10_16-40-49
epoch:25, train:0.461, valid:0.320, threshold: [0.73296694 1.36381996 1.80436757 2.73507185 3.66050636], score:0.868, best:0.868, date:Jun10_16-49-06
epoch:26, train:0.454, valid:0.327, threshold: [0.63474044 1.5280868  1.91489147 2.63121308 4.63958103], score:0.858, best:0.868, date:Jun10_16-57-24
epoch:27, train:0.472, valid:0.329, threshold: [0.78771754 1.36919651 1.98494546 2.57280519 3.3889052 ], score:0.867, best:0.868, date:Jun10_17-05-41
epoch:28, train:0.458, valid:0.313, threshold: [0.7666526  1.49285628 2.43451385 2.80083931 4.07580249], score:0.862, best:0.868, date:Jun10_17-14-00
epoch:29, train:0.445, valid:0.316, threshold: [0.68239597 1.4081135  1.6847285  2.77018941 3.94459317], score:0.860, best:0.868, date:Jun10_17-22-20
epoch:30, train:0.443, valid:0.396, threshold: [0.6967499  1.2555987  1.74004309 2.26554195 5.70284193], score:0.853, best:0.868, date:Jun10_17-30-39
epoch:31, train:0.445, valid:0.342, threshold: [0.64507789 1.51628969 1.96963839 2.33048985 5.49802097], score:0.852, best:0.868, date:Jun10_17-39-01
epoch:32, train:0.435, valid:0.328, threshold: [0.60483507 1.49432745 1.92831665 2.66002626 4.14387275], score:0.860, best:0.868, date:Jun10_17-47-20
epoch:33, train:0.452, valid:0.353, threshold: [0.79956709 1.39150022 1.71498931 2.4245309  4.5903066 ], score:0.853, best:0.868, date:Jun10_17-55-37
epoch:34, train:0.444, valid:0.356, threshold: [0.58980179 1.38433309 1.82034674 2.31311381 4.91059255], score:0.853, best:0.868, date:Jun10_18-03-59
epoch:35, train:0.434, valid:0.321, threshold: [0.7026101  1.80003149 2.215722   2.56771659 3.57163662], score:0.862, best:0.868, date:Jun10_18-12-15
epoch:36, train:0.433, valid:0.316, threshold: [0.63300141 1.6721587  2.29154509 2.60212694 3.84749229], score:0.859, best:0.868, date:Jun10_18-20-35
epoch:37, train:0.443, valid:0.301, threshold: [0.60535914 1.28914629 2.09168786 2.77404496 3.73424801], score:0.872, best:0.872, date:Jun10_18-28-56
epoch:38, train:0.437, valid:0.340, threshold: [0.66308409 1.42797814 1.9266009  2.48220694 3.32605487], score:0.869, best:0.872, date:Jun10_18-37-13
epoch:39, train:0.440, valid:0.333, threshold: [0.72019845 1.36856814 1.96458839 2.60416101 4.37087546], score:0.860, best:0.872, date:Jun10_18-45-29
epoch:40, train:0.424, valid:0.350, threshold: [0.66809408 1.3074771  1.7268318  2.5628092  4.99179288], score:0.855, best:0.872, date:Jun10_18-53-46
epoch:41, train:0.416, valid:0.324, threshold: [0.71407778 1.3286685  2.17023164 2.84861669 3.62053703], score:0.870, best:0.872, date:Jun10_19-02-03
