available cuda: 2
Loaded pretrained weights for efficientnet-b1
training started: Jun10_18-07-59
epoch:00, train:0.969, valid:0.786, threshold: [0.59491118 1.55240324 1.8153432  3.57451296 4.72988667], score:0.434, best:0.434, date:Jun10_18-16-29
epoch:01, train:0.688, valid:0.540, threshold: [0.56910571 1.71712078 2.57871078 3.09714091 3.72276466], score:0.715, best:0.715, date:Jun10_18-24-44
epoch:02, train:0.634, valid:0.452, threshold: [0.77990094 1.45055257 1.96064021 2.65971961 3.31839638], score:0.787, best:0.787, date:Jun10_18-33-01
epoch:03, train:0.608, valid:0.476, threshold: [0.73702392 1.69761627 2.12644103 2.50050033 3.06017607], score:0.777, best:0.787, date:Jun10_18-41-20
epoch:04, train:0.595, valid:0.637, threshold: [0.6017401  1.54953899 1.68279901 3.40874811 4.88837709], score:0.638, best:0.787, date:Jun10_18-49-36
epoch:05, train:0.593, valid:0.558, threshold: [0.63820394 1.53723849 1.77782142 2.4049298  5.44642349], score:0.725, best:0.787, date:Jun10_18-57-52
epoch:06, train:0.581, valid:0.466, threshold: [0.75443594 1.51303059 2.02916399 2.34038978 3.23296174], score:0.783, best:0.787, date:Jun10_19-06-11
epoch:07, train:0.563, valid:0.442, threshold: [0.77063518 1.55885515 2.21961292 2.50071017 3.08373631], score:0.787, best:0.787, date:Jun10_19-14-28
epoch:08, train:0.564, valid:0.387, threshold: [0.5519763  1.74555494 2.15642829 2.55469888 4.77962464], score:0.792, best:0.792, date:Jun10_19-22-45
epoch:09, train:0.545, valid:0.514, threshold: [0.66116516 1.22589316 1.7300533  2.30623879 5.5432742 ], score:0.758, best:0.792, date:Jun10_19-31-03
epoch:10, train:0.520, valid:0.348, threshold: [0.6918044  1.57378451 2.12738419 2.52802137 3.63362463], score:0.826, best:0.826, date:Jun10_19-39-18
epoch:11, train:0.512, valid:0.388, threshold: [0.79072114 1.49289317 1.88798506 2.60745726 3.08982159], score:0.828, best:0.828, date:Jun10_19-47-33
epoch:12, train:0.517, valid:0.372, threshold: [0.70118338 1.59614409 2.16882557 2.42673155 3.33921987], score:0.816, best:0.828, date:Jun10_19-55-50
epoch:13, train:0.516, valid:0.321, threshold: [0.67539633 1.37502117 2.16735933 2.75384502 3.819392  ], score:0.842, best:0.842, date:Jun10_20-04-03
epoch:14, train:0.511, valid:0.356, threshold: [0.79653931 1.38841238 1.85091058 2.75098528 3.83087054], score:0.841, best:0.842, date:Jun10_20-12-16
epoch:15, train:0.494, valid:0.325, threshold: [0.57570935 1.76822983 2.3422615  3.0433868  3.57114174], score:0.840, best:0.842, date:Jun10_20-20-33
epoch:16, train:0.494, valid:0.319, threshold: [0.57998237 1.69136719 2.61701384 3.05754562 3.72084026], score:0.836, best:0.842, date:Jun10_20-28-51
epoch:17, train:0.488, valid:0.333, threshold: [0.67510291 1.58018779 2.19207244 2.75388265 3.61675997], score:0.840, best:0.842, date:Jun10_20-37-10
epoch:18, train:0.479, valid:0.383, threshold: [0.64878497 1.43190047 1.81492805 2.59854035 4.98462983], score:0.819, best:0.842, date:Jun10_20-45-23
epoch:19, train:0.479, valid:0.322, threshold: [0.57799293 1.69257384 2.32528926 2.93359155 3.5004242 ], score:0.841, best:0.842, date:Jun10_20-53-41
epoch:20, train:0.457, valid:0.356, threshold: [0.72276624 1.39283083 1.95584458 2.46609613 3.39012158], score:0.839, best:0.842, date:Jun10_21-01-56
epoch:21, train:0.461, valid:0.337, threshold: [0.62006141 1.446412   1.9781621  2.78890932 4.61471767], score:0.837, best:0.842, date:Jun10_21-10-12
epoch:22, train:0.460, valid:0.320, threshold: [0.70746616 1.61257507 2.00688804 2.69130683 3.5013269 ], score:0.857, best:0.857, date:Jun10_21-18-27
epoch:23, train:0.450, valid:0.312, threshold: [0.70494384 1.62533375 1.97780405 2.84397653 3.63490435], score:0.853, best:0.857, date:Jun10_21-26-45
epoch:24, train:0.457, valid:0.322, threshold: [0.6568132  1.46238612 2.17499528 2.74271284 3.61770198], score:0.852, best:0.857, date:Jun10_21-34-57
epoch:25, train:0.439, valid:0.286, threshold: [0.66056817 1.54994934 1.99405584 2.92837599 3.95588961], score:0.857, best:0.857, date:Jun10_21-43-12
epoch:26, train:0.437, valid:0.319, threshold: [0.63993406 1.33138448 2.03372555 2.61219506 3.39169209], score:0.851, best:0.857, date:Jun10_21-51-29
