available cuda: 2
training started: May28_04-02-41
epoch:00, train:1.065, valid:0.620, threshold: [0.66595375 1.45790845 2.1072777  2.56330033 4.91804528], score:0.647, best:0.647, date:May28_04-19-00
epoch:01, train:0.827, valid:0.609, threshold: [0.71451893 1.50199703 1.67670417 2.61024898 4.76380297], score:0.673, best:0.673, date:May28_04-35-17
epoch:02, train:0.770, valid:0.634, threshold: [0.83144025 1.31028029 1.61227874 2.08833474 5.47349546], score:0.689, best:0.689, date:May28_04-51-30
epoch:03, train:0.753, valid:0.892, threshold: [0.65511186 1.90184609 2.34341713 2.82061938 3.44782988], score:0.586, best:0.689, date:May28_05-07-49
epoch:04, train:0.731, valid:0.853, threshold: [0.80394218 1.53047952 1.80333674 2.46562941 4.29670932], score:0.657, best:0.689, date:May28_05-24-10
epoch:05, train:0.708, valid:0.801, threshold: [0.55255187 1.74114437 2.09979523 2.58120621 4.83930782], score:0.683, best:0.689, date:May28_05-40-29
epoch:06, train:0.696, valid:0.490, threshold: [0.94433722 1.39554943 1.89917274 2.33134383 3.77047495], score:0.780, best:0.780, date:May28_05-56-53
epoch:07, train:0.685, valid:0.510, threshold: [0.8443599  1.83339795 2.34643699 2.48148363 3.89632853], score:0.758, best:0.780, date:May28_06-13-09
epoch:08, train:0.688, valid:0.559, threshold: [0.59039245 1.82071869 2.27741878 3.03039257 3.47837977], score:0.715, best:0.780, date:May28_06-29-32
epoch:09, train:0.688, valid:0.493, threshold: [0.62494669 1.81364363 2.28389456 2.57307911 3.64321782], score:0.762, best:0.780, date:May28_06-45-48
epoch:10, train:0.673, valid:0.485, threshold: [0.72051086 1.19536462 1.63806669 2.20407752 3.85750928], score:0.777, best:0.780, date:May28_07-02-09
epoch:11, train:0.676, valid:0.558, threshold: [0.58851296 1.91725167 2.4244761  2.9386227  3.94465737], score:0.755, best:0.780, date:May28_07-18-26
epoch:12, train:0.659, valid:0.568, threshold: [0.6224345  1.6974179  2.40468316 2.8222498  3.48510609], score:0.692, best:0.780, date:May28_07-34-44
