available cuda: 2
load model from checkpoint, threshold: [0.5, 1.5, 2.5, 3.5, 4.5], valid score: 0.825
loading data: May24_18-49-34
data loaded: May24_18-52-47
mean: [0.81036124 0.61035397 0.74000449]
std: [0.16581212 0.26087577 0.17437672]
training started: May24_18-52-48
epoch:00, train:0.368, valid:0.325, threshold: [0.59404896 1.67175231 2.4186574  2.72990383 3.774255  ]score:0.830, best:0.830, date:May24_19-01-21
epoch:01, train:0.371, valid:0.311, threshold: [0.62603817 1.65556069 2.21472061 3.11236937 3.5652836 ]score:0.837, best:0.837, date:May24_19-09-43
epoch:02, train:0.362, valid:0.300, threshold: [0.60890105 1.54325245 2.34850325 3.00607992 3.93845355]score:0.842, best:0.842, date:May24_19-18-03
epoch:03, train:0.375, valid:0.365, threshold: [0.61660196 1.65863012 2.26064672 2.79899257 3.5954265 ]score:0.811, best:0.842, date:May24_19-26-23
epoch:04, train:0.372, valid:0.312, threshold: [0.58054788 1.52636782 2.5597595  3.11247917 4.01165334]score:0.839, best:0.842, date:May24_19-34-44
epoch:05, train:0.369, valid:0.314, threshold: [0.64299751 1.66113809 2.69628897 2.08057999 3.66305343]score:0.839, best:0.842, date:May24_19-43-05
epoch:06, train:0.358, valid:0.306, threshold: [0.62712079 1.45917972 2.25893606 3.20283404 3.84994182]score:0.839, best:0.842, date:May24_19-51-27
epoch:07, train:0.355, valid:0.324, threshold: [0.60570616 1.66283695 2.47985841 3.01832196 3.54951248]score:0.837, best:0.842, date:May24_19-59-48
epoch:08, train:0.357, valid:0.336, threshold: [0.54283453 1.48769746 2.59775695 2.02636902 4.74350244]score:0.826, best:0.842, date:May24_20-08-09
epoch:09, train:0.365, valid:0.308, threshold: [0.53331487 1.65202652 2.68695204 2.88083962 3.6301894 ]score:0.838, best:0.842, date:May24_20-16-31
epoch:10, train:0.354, valid:0.319, threshold: [0.59213849 1.79460175 2.36148153 3.0366796  3.86754723]score:0.834, best:0.842, date:May24_20-24-52
epoch:11, train:0.345, valid:0.336, threshold: [0.62594685 1.44540477 2.35583685 3.00162404 3.82731173]score:0.822, best:0.842, date:May24_20-33-14
epoch:12, train:0.349, valid:0.322, threshold: [0.57699459 1.57745526 2.35904235 3.21552208 3.8176856 ]score:0.834, best:0.842, date:May24_20-41-35
epoch:13, train:0.349, valid:0.317, threshold: [0.54653853 1.68632758 2.52692856 3.00690526 3.75979162]score:0.835, best:0.842, date:May24_20-49-56
epoch:14, train:0.345, valid:0.377, threshold: [0.57900323 1.51901965 2.72020865 2.00336041 4.67646484]score:0.798, best:0.842, date:May24_20-58-17
epoch:15, train:0.352, valid:0.345, threshold: [0.60947146 1.64898387 2.12762357 2.84479685 3.68050918]score:0.814, best:0.842, date:May24_21-06-38
epoch:16, train:0.334, valid:0.303, threshold: [0.59225543 1.49534859 2.55601583 3.03979579 3.73853095]score:0.839, best:0.842, date:May24_21-15-00
epoch:17, train:0.343, valid:0.328, threshold: [0.63489276 1.64801217 2.29047931 2.80738469 3.64256774]score:0.836, best:0.842, date:May24_21-23-23
epoch:18, train:0.340, valid:0.297, threshold: [0.57905937 1.58988272 2.60616774 3.05806209 3.84697572]score:0.842, best:0.842, date:May24_21-31-44
