available cuda: 2
load model from checkpoint, threshold: [0.5, 1.5, 2.5, 3.5, 4.5], valid score: 0.843
loading data: May24_18-53-18
data loaded: May24_18-56-32
mean: [0.81036124 0.61035397 0.74000449]
std: [0.16581212 0.26087577 0.17437672]
training started: May24_18-56-32
epoch:00, train:0.366, valid:0.292, threshold: [0.61615834 1.71150906 2.32250357 2.91347401 3.8921945 ]score:0.862, best:0.862, date:May24_19-05-06
epoch:01, train:0.381, valid:0.301, threshold: [0.60315063 1.61594971 2.26749109 2.87465846 3.75133964]score:0.863, best:0.863, date:May24_19-13-26
epoch:02, train:0.368, valid:0.306, threshold: [0.64298847 1.67411906 2.17657088 2.89008153 3.54856797]score:0.861, best:0.863, date:May24_19-21-46
epoch:03, train:0.357, valid:0.315, threshold: [0.64854991 1.60442875 2.30038315 2.8264307  3.38110652]score:0.856, best:0.863, date:May24_19-30-07
epoch:04, train:0.350, valid:0.296, threshold: [0.63578342 1.71634923 2.08883534 2.71822851 3.58691143]score:0.862, best:0.863, date:May24_19-38-29
epoch:05, train:0.361, valid:0.294, threshold: [0.61624916 1.61543599 2.21489485 2.85322886 3.61324118]score:0.866, best:0.866, date:May24_19-46-49
epoch:06, train:0.366, valid:0.301, threshold: [0.60345379 1.56183651 2.78231371 2.1487495  3.65113502]score:0.859, best:0.866, date:May24_19-55-11
epoch:07, train:0.372, valid:0.299, threshold: [0.64044759 1.56664074 2.71511676 1.98202118 3.69695297]score:0.856, best:0.866, date:May24_20-03-32
epoch:08, train:0.362, valid:0.300, threshold: [0.59864599 1.62831188 2.08650491 2.9544814  3.72100534]score:0.858, best:0.866, date:May24_20-11-54
epoch:09, train:0.361, valid:0.298, threshold: [0.63119689 1.77968903 2.85642001 2.00723569 3.7007483 ]score:0.856, best:0.866, date:May24_20-20-15
epoch:10, train:0.365, valid:0.325, threshold: [0.65336729 1.76316605 2.83685973 1.35064968 3.33490919]score:0.853, best:0.866, date:May24_20-28-36
epoch:11, train:0.358, valid:0.302, threshold: [0.56095229 1.7586447  2.29601031 2.88331776 3.78378467]score:0.853, best:0.866, date:May24_20-36-58
epoch:12, train:0.345, valid:0.305, threshold: [0.57783689 1.65580158 2.49677013 2.98777461 3.81260858]score:0.856, best:0.866, date:May24_20-45-20
epoch:13, train:0.347, valid:0.298, threshold: [0.60283888 1.5273767  2.3247298  3.03262271 3.69874139]score:0.864, best:0.866, date:May24_20-53-40
epoch:14, train:0.341, valid:0.304, threshold: [0.60630057 1.76868501 2.1967719  2.77633792 3.84989074]score:0.858, best:0.866, date:May24_21-02-02
epoch:15, train:0.338, valid:0.302, threshold: [0.67280619 1.38193639 2.05526104 2.8464623  3.69646939]score:0.862, best:0.866, date:May24_21-10-23
epoch:16, train:0.345, valid:0.294, threshold: [0.65764219 1.57156165 2.27642177 2.86561692 3.69136826]score:0.863, best:0.866, date:May24_21-18-44
epoch:17, train:0.347, valid:0.310, threshold: [0.56231299 1.47351126 2.29933031 2.91181745 4.57127767]score:0.847, best:0.866, date:May24_21-27-05
epoch:18, train:0.350, valid:0.299, threshold: [0.7166519  1.53983859 2.803679   2.10100608 3.73500933]score:0.865, best:0.866, date:May24_21-35-27
epoch:19, train:0.341, valid:0.289, threshold: [0.58128171 1.70026912 2.13753231 2.87458043 3.77830887]score:0.861, best:0.866, date:May24_21-43-48
epoch:20, train:0.347, valid:0.307, threshold: [0.61440769 1.56536239 2.41423216 2.82126491 3.60216325]score:0.856, best:0.866, date:May24_21-52-09
epoch:21, train:0.331, valid:0.317, threshold: [0.64817609 1.4032246  2.50810134 2.12497327 4.2902271 ]score:0.845, best:0.866, date:May24_22-00-31
epoch:22, train:0.322, valid:0.301, threshold: [0.66696159 1.53089377 2.37043292 2.75550852 3.5066687 ]score:0.866, best:0.866, date:May24_22-08-52
epoch:23, train:0.325, valid:0.294, threshold: [0.71459594 1.5233175  2.60590682 2.13077236 3.72162318]score:0.868, best:0.868, date:May24_22-17-14
epoch:24, train:0.335, valid:0.302, threshold: [0.63982733 1.68101814 2.82687062 1.9707816  3.60767715]score:0.859, best:0.868, date:May24_22-25-35
epoch:25, train:0.326, valid:0.292, threshold: [0.67905406 1.52855369 2.24163676 2.6522211  3.71873608]score:0.865, best:0.868, date:May24_22-33-57
epoch:26, train:0.323, valid:0.328, threshold: [0.65557048 1.78417512 2.46401399 2.89473167 3.76387021]score:0.852, best:0.868, date:May24_22-42-18
epoch:27, train:0.331, valid:0.306, threshold: [0.85565817 1.68223728 2.56716732 2.984792   3.90869378]score:0.863, best:0.868, date:May24_22-50-39
epoch:28, train:0.332, valid:0.296, threshold: [0.60015112 1.70884554 2.41018408 2.90862684 3.62226513]score:0.864, best:0.868, date:May24_22-59-00
epoch:29, train:0.315, valid:0.296, threshold: [0.62756581 1.73144412 2.80529545 2.3507312  3.92989292]score:0.864, best:0.868, date:May24_23-07-22
epoch:30, train:0.322, valid:0.290, threshold: [0.62892993 1.57488133 2.6704737  2.2700893  3.86527919]score:0.867, best:0.868, date:May24_23-15-43
epoch:31, train:0.323, valid:0.284, threshold: [0.56470488 1.65578658 2.3512175  2.99465317 3.83282548]score:0.867, best:0.868, date:May24_23-24-04
epoch:32, train:0.333, valid:0.297, threshold: [0.62205372 1.75111159 2.209376   2.78274768 3.52229409]score:0.862, best:0.868, date:May24_23-32-26
epoch:33, train:0.339, valid:0.305, threshold: [0.6391422  1.46324194 2.91043214 2.11092753 3.69892866]score:0.864, best:0.868, date:May24_23-40-47
epoch:34, train:0.316, valid:0.298, threshold: [0.63819383 1.65493495 2.10604953 2.78367948 3.74428657]score:0.860, best:0.868, date:May24_23-49-09
epoch:35, train:0.321, valid:0.289, threshold: [0.62870136 1.61847321 2.48341115 2.90972867 3.88794241]score:0.862, best:0.868, date:May24_23-57-30
epoch:36, train:0.318, valid:0.316, threshold: [0.59502851 1.3763189  2.5627289  1.98326434 5.1730417 ]score:0.846, best:0.868, date:May25_00-05-51
epoch:37, train:0.314, valid:0.288, threshold: [0.61914228 1.36187869 2.81982985 2.05750999 3.79592662]score:0.868, best:0.868, date:May25_00-14-13
epoch:38, train:0.327, valid:0.300, threshold: [0.62068835 1.52256184 2.28891928 2.80320399 3.92249793]score:0.861, best:0.868, date:May25_00-22-35
epoch:39, train:0.311, valid:0.289, threshold: [0.56321768 1.50752031 2.82304366 2.21299236 3.75058994]score:0.865, best:0.868, date:May25_00-30-57
epoch:40, train:0.298, valid:0.291, threshold: [0.65161983 1.51178962 3.00718736 2.27099399 3.69421216]score:0.868, best:0.868, date:May25_00-39-18
epoch:41, train:0.313, valid:0.302, threshold: [0.63851465 1.72115416 2.0059799  2.75283315 3.62188653]score:0.857, best:0.868, date:May25_00-47-40
epoch:42, train:0.310, valid:0.282, threshold: [0.6362273  1.52746134 2.34700226 2.98976777 3.8470213 ]score:0.867, best:0.868, date:May25_00-56-01
epoch:43, train:0.297, valid:0.300, threshold: [0.74042986 1.39409719 2.07942363 2.66962016 3.46862264]score:0.867, best:0.868, date:May25_01-04-23
epoch:44, train:0.307, valid:0.293, threshold: [0.6576489  1.34570619 2.17254177 2.91331839 3.66297898]score:0.864, best:0.868, date:May25_01-12-45
epoch:45, train:0.316, valid:0.309, threshold: [0.58078326 1.7366528  2.22497604 2.78385814 3.49398325]score:0.857, best:0.868, date:May25_01-21-06
epoch:46, train:0.316, valid:0.289, threshold: [0.62271834 1.61007904 2.44036317 2.82027455 3.81873427]score:0.866, best:0.868, date:May25_01-29-26
epoch:47, train:0.318, valid:0.283, threshold: [0.59928097 1.60452309 2.45581318 2.95877098 3.72465429]score:0.866, best:0.868, date:May25_01-37-47
epoch:48, train:0.322, valid:0.283, threshold: [0.64758945 1.67008336 2.46372309 2.75316069 3.89426993]score:0.867, best:0.868, date:May25_01-46-08
epoch:49, train:0.316, valid:0.292, threshold: [0.54908619 1.68089735 2.33140169 3.10865914 3.74437026]score:0.860, best:0.868, date:May25_01-54-29
epoch:50, train:0.319, valid:0.297, threshold: [0.65759984 1.60423675 2.70110109 2.16578286 3.60953918]score:0.865, best:0.868, date:May25_02-02-50
epoch:51, train:0.315, valid:0.291, threshold: [0.6278486  1.65060609 2.55122878 2.28713559 3.75700435]score:0.864, best:0.868, date:May25_02-11-11
epoch:52, train:0.312, valid:0.300, threshold: [0.48006046 1.43368351 2.69380068 1.94163857 3.76994403]score:0.864, best:0.868, date:May25_02-19-32
epoch:53, train:0.309, valid:0.291, threshold: [0.62039896 1.58701694 2.79792835 2.37892043 3.73266976]score:0.863, best:0.868, date:May25_02-27-54
epoch:54, train:0.309, valid:0.286, threshold: [0.60709663 1.69783913 2.37203714 2.82257342 3.84678382]score:0.866, best:0.868, date:May25_02-36-15
epoch:55, train:0.321, valid:0.293, threshold: [0.64588449 1.4264748  2.05005423 2.7936901  3.71262932]score:0.868, best:0.868, date:May25_02-44-35
epoch:56, train:0.305, valid:0.307, threshold: [0.55515168 1.69870166 2.59833755 3.07115659 3.89324714]score:0.849, best:0.868, date:May25_02-52-55
epoch:57, train:0.307, valid:0.301, threshold: [0.672925   1.56620363 2.08094512 2.69683712 3.72666711]score:0.864, best:0.868, date:May25_03-01-17
epoch:58, train:0.306, valid:0.287, threshold: [0.58082285 1.62529041 2.43825643 2.90688119 4.0265825 ]score:0.864, best:0.868, date:May25_03-09-37
epoch:59, train:0.300, valid:0.283, threshold: [0.59201228 1.57307016 2.84329059 2.19098878 3.66732322]score:0.865, best:0.868, date:May25_03-17-59
epoch:60, train:0.325, valid:0.286, threshold: [0.60405982 1.58956563 2.29035945 2.88638835 3.72344525]score:0.867, best:0.868, date:May25_03-26-21
epoch:61, train:0.317, valid:0.295, threshold: [0.63350257 1.49578743 2.31975551 2.76039174 3.72027397]score:0.865, best:0.868, date:May25_03-34-41
epoch:62, train:0.326, valid:0.292, threshold: [0.62080766 1.653603   2.30937735 2.79387032 3.51634912]score:0.864, best:0.868, date:May25_03-43-03
epoch:63, train:0.310, valid:0.291, threshold: [0.64977503 1.60454177 2.40031652 2.80363538 3.90052595]score:0.865, best:0.868, date:May25_03-51-25
epoch:64, train:0.314, valid:0.285, threshold: [0.58680763 1.62886991 2.77058699 2.35456369 3.86263768]score:0.865, best:0.868, date:May25_03-59-46
epoch:65, train:0.324, valid:0.289, threshold: [0.60070399 1.55596943 2.53857111 2.7809245  3.79289456]score:0.865, best:0.868, date:May25_04-08-07
epoch:66, train:0.313, valid:0.289, threshold: [0.61539198 1.67663897 2.64619847 2.12786864 3.56915812]score:0.861, best:0.868, date:May25_04-16-29
epoch:67, train:0.315, valid:0.284, threshold: [0.54602565 1.61729007 2.25474281 3.10373912 4.04386141]score:0.865, best:0.868, date:May25_04-24-50
epoch:68, train:0.320, valid:0.283, threshold: [0.60279985 1.65450604 2.77431755 2.37957918 3.65136813]score:0.864, best:0.868, date:May25_04-33-11
epoch:69, train:0.313, valid:0.275, threshold: [0.54969126 1.5742842  2.6109536  3.08086358 4.00435808]score:0.865, best:0.868, date:May25_04-41-33
epoch:70, train:0.323, valid:0.290, threshold: [0.64093551 1.63660836 2.18931418 2.84670731 3.67404614]score:0.867, best:0.868, date:May25_04-49-54
epoch:71, train:0.320, valid:0.311, threshold: [0.56342798 1.50772423 2.56380198 2.04104597 4.69606135]score:0.852, best:0.868, date:May25_04-58-15
epoch:72, train:0.317, valid:0.285, threshold: [0.6169158  1.61312311 2.72244553 2.22562155 3.86008607]score:0.865, best:0.868, date:May25_05-06-36
epoch:73, train:0.315, valid:0.299, threshold: [0.64199608 1.51466737 2.54964364 2.1492161  4.71370693]score:0.853, best:0.868, date:May25_05-14-57
epoch:74, train:0.305, valid:0.280, threshold: [0.55719418 1.67213702 2.51319978 3.10563546 3.70872101]score:0.865, best:0.868, date:May25_05-23-19
epoch:75, train:0.346, valid:0.289, threshold: [0.62872568 1.63544498 2.33574532 2.8367752  3.75728817]score:0.865, best:0.868, date:May25_05-31-41
