available cuda: 2
training started: May28_04-02-40
epoch:00, train:1.066, valid:0.625, threshold: [0.75118219 1.11639077 1.5894747  2.12730949 5.30482213], score:0.664, best:0.664, date:May28_04-15-19
epoch:01, train:0.791, valid:0.659, threshold: [0.77576683 1.50480745 1.76803552 2.57983811 3.31473505], score:0.649, best:0.664, date:May28_04-27-52
epoch:02, train:0.750, valid:0.933, threshold: [0.34002355 2.05283549 2.62654485 3.8321723  4.43319461], score:0.588, best:0.664, date:May28_04-40-26
epoch:03, train:0.730, valid:10.999, threshold: [0.71162828 1.77115852 1.95975949 2.21901383 4.18336827], score:0.527, best:0.664, date:May28_04-53-00
epoch:04, train:0.723, valid:0.845, threshold: [0.67488133 1.39574965 1.77398369 1.80090299 5.79176177], score:0.621, best:0.664, date:May28_05-05-38
epoch:05, train:0.709, valid:2.317, threshold: [0.6381733  1.493003   1.76057599 2.05275775 5.54021591], score:0.535, best:0.664, date:May28_05-18-14
epoch:06, train:0.677, valid:1.174, threshold: [0.79725507 1.41195145 1.81438534 2.23743302 2.65465788], score:0.659, best:0.664, date:May28_05-30-53
epoch:07, train:0.728, valid:0.627, threshold: [0.67863043 1.51931282 1.9972434  2.42690132 4.97122913], score:0.620, best:0.664, date:May28_05-43-29
epoch:08, train:0.709, valid:0.682, threshold: [0.76399924 1.52982441 1.8260392  2.25571956 4.35335103], score:0.641, best:0.664, date:May28_05-56-06
epoch:09, train:0.702, valid:0.783, threshold: [0.58486908 1.66504183 2.51223763 3.30524584 3.75433591], score:0.579, best:0.664, date:May28_06-08-41
epoch:10, train:0.669, valid:0.499, threshold: [0.73670229 1.32224948 1.61576219 2.86368555 3.80911246], score:0.740, best:0.740, date:May28_06-21-11
epoch:11, train:0.652, valid:0.594, threshold: [0.66641573 1.60723683 2.40779119 2.75494889 3.31720493], score:0.670, best:0.740, date:May28_06-33-42
epoch:12, train:0.660, valid:0.937, threshold: [0.58474611 1.82688588 2.17937218 2.85911684 3.77390358], score:0.350, best:0.740, date:May28_06-46-17
epoch:13, train:0.659, valid:0.544, threshold: [0.65595063 1.12896921 1.72641076 2.08960897 4.67013679], score:0.726, best:0.740, date:May28_06-58-52
