available cuda: 2
loading data: May24_22-15-10
data loaded: May24_22-18-30
training started: May24_22-18-30
epoch:00, train:1.102, valid:0.624, threshold: [0.80331503 1.50126016 1.10036669 2.0437586  2.75347428], score:0.681, best:0.681, date:May24_22-30-53
epoch:01, train:0.812, valid:0.776, threshold: [0.90594938 1.38875762 0.62608301 1.10988223 6.59042783], score:0.620, best:0.681, date:May24_22-43-03
epoch:02, train:0.750, valid:0.630, threshold: [0.69638596 1.53982979 1.37404215 2.33901589 5.28135809], score:0.662, best:0.681, date:May24_22-55-12
epoch:03, train:0.714, valid:0.509, threshold: [0.78206207 1.80074133 2.6502168  2.27908102 3.35202668], score:0.749, best:0.749, date:May24_23-07-22
epoch:04, train:0.685, valid:0.535, threshold: [0.66443776 1.93021865 1.64159421 2.4534257  3.47256586], score:0.716, best:0.749, date:May24_23-19-31
epoch:05, train:0.668, valid:0.671, threshold: [0.751982   1.00741761 1.55251334 1.78444386 5.67059236], score:0.679, best:0.749, date:May24_23-31-40
epoch:06, train:0.650, valid:0.575, threshold: [0.79005775 1.41266151 2.13962628 1.79687446 5.68293676], score:0.749, best:0.749, date:May24_23-43-49
epoch:07, train:0.651, valid:0.750, threshold: [0.65330678 1.54202081 2.0417457  1.18206907 6.1967257 ], score:0.708, best:0.749, date:May24_23-55-59
epoch:08, train:0.640, valid:0.682, threshold: [0.73433678 1.40788144 1.23904284 2.42975237 3.72912591], score:0.749, best:0.749, date:May25_00-08-10
epoch:09, train:0.636, valid:1.100, threshold: [1.0999114  1.54780562 1.96073903 0.58868022 8.86133565], score:0.744, best:0.749, date:May25_00-20-19
epoch:10, train:0.648, valid:0.446, threshold: [0.66115409 1.71609687 2.00217765 2.66522545 4.01372417], score:0.771, best:0.771, date:May25_00-32-28
epoch:11, train:0.654, valid:0.625, threshold: [0.85412305 1.64968632 1.86918138 1.37659754 5.72593639], score:0.729, best:0.771, date:May25_00-44-38
epoch:12, train:0.640, valid:0.484, threshold: [0.7024656  1.12282045 1.7577853  2.11141354 5.13059006], score:0.761, best:0.771, date:May25_00-56-48
epoch:13, train:0.635, valid:0.498, threshold: [0.701763   1.79641139 0.99216058 1.70319077 2.956655  ], score:0.779, best:0.779, date:May25_01-08-58
epoch:14, train:0.614, valid:2.376, threshold: [0.73972614 1.75672328 1.24462382 2.05358196 5.05513927], score:0.539, best:0.779, date:May25_01-21-08
epoch:15, train:0.588, valid:0.600, threshold: [0.75140373 1.69464052 2.12784124 2.65888182 3.41975047], score:0.776, best:0.779, date:May25_01-33-18
epoch:16, train:0.589, valid:0.398, threshold: [0.80436217 1.58103886 2.3017882  3.00399047 3.83649568], score:0.815, best:0.815, date:May25_01-45-28
