available cuda: 2
loading data: May24_23-49-13
data loaded: May24_23-54-23
training started: May24_23-54-24
epoch:00, train:1.060, valid:1.169, threshold: [0.5562314  1.03559041 2.33312986 3.96011983 4.59839636], score:0.462, best:0.462, date:May25_00-06-51
epoch:01, train:0.825, valid:0.997, threshold: [0.54791545 1.45548328 0.80929483 3.75811408 5.65381984], score:0.572, best:0.572, date:May25_00-19-04
epoch:02, train:0.790, valid:0.708, threshold: [0.7047004  1.71919985 1.23748107 2.21351703 5.52517771], score:0.682, best:0.682, date:May25_00-31-18
epoch:03, train:0.747, valid:0.610, threshold: [0.7001812  1.58027169 2.03239778 0.49373268 4.95641229], score:0.673, best:0.682, date:May25_00-43-32
epoch:04, train:0.724, valid:0.610, threshold: [0.65799182 1.61300156 2.10164554 1.21133387 5.49303691], score:0.668, best:0.682, date:May25_00-55-46
epoch:05, train:0.677, valid:2.394, threshold: [0.74023109 1.68848671 1.92839189 2.62694816 3.03804528], score:0.634, best:0.682, date:May25_01-08-00
epoch:06, train:0.671, valid:0.608, threshold: [0.6199114  1.73841751 2.23960103 2.96723208 3.79077821], score:0.704, best:0.704, date:May25_01-20-15
epoch:07, train:0.662, valid:0.647, threshold: [0.78282514 1.15065019 1.4749757  1.80330495 6.50376474], score:0.703, best:0.704, date:May25_01-32-29
epoch:08, train:0.655, valid:0.857, threshold: [0.52633211 2.02138633 2.57734368 3.41115942 4.40772168], score:0.701, best:0.704, date:May25_01-44-42
epoch:09, train:0.642, valid:0.565, threshold: [0.56570655 1.6939555  2.56851707 3.16494209 3.55405794], score:0.703, best:0.704, date:May25_01-56-56
epoch:10, train:0.635, valid:0.774, threshold: [0.5326252  1.52799941 2.55561246 3.14730103 4.49576681], score:0.725, best:0.725, date:May25_02-09-11
epoch:11, train:0.630, valid:0.511, threshold: [0.82130446 1.80921875 2.86723687 2.56452307 3.59790386], score:0.771, best:0.771, date:May25_02-21-25
epoch:12, train:0.628, valid:0.681, threshold: [0.61320428 1.74927232 2.37802564 2.9242236  4.18054931], score:0.750, best:0.771, date:May25_02-33-39
epoch:13, train:0.620, valid:0.558, threshold: [0.60054151 1.68677651 2.12465645 2.51786439 4.84205025], score:0.763, best:0.771, date:May25_02-45-54
epoch:14, train:0.606, valid:0.523, threshold: [0.6508433  1.49132404 2.6285492  1.87704707 4.47827388], score:0.733, best:0.771, date:May25_02-58-09
epoch:15, train:0.592, valid:0.468, threshold: [0.72165611 1.92519114 2.34567456 1.40562247 3.46803458], score:0.772, best:0.772, date:May25_03-10-24
epoch:16, train:0.583, valid:0.450, threshold: [0.64518587 1.73548922 2.05659098 2.60596571 3.64784713], score:0.791, best:0.791, date:May25_03-22-39
epoch:17, train:0.571, valid:0.477, threshold: [0.74845915 1.47857154 2.81921681 2.08891507 3.35173757], score:0.790, best:0.791, date:May25_03-34-53
epoch:18, train:0.577, valid:0.412, threshold: [0.61035965 1.74348667 2.29211203 3.6014558  2.91421229], score:0.785, best:0.791, date:May25_03-47-07
epoch:19, train:0.567, valid:0.486, threshold: [0.55568173 1.60714417 2.08788505 3.03512971 4.31776639], score:0.783, best:0.791, date:May25_03-59-22
epoch:20, train:0.568, valid:0.499, threshold: [0.51607022 1.64842108 2.63019718 2.99371818 4.57735864], score:0.778, best:0.791, date:May25_04-11-36
epoch:21, train:0.560, valid:0.401, threshold: [0.7285438  1.83367973 2.77139917 1.23337055 3.45592993], score:0.798, best:0.798, date:May25_04-23-50
epoch:22, train:0.547, valid:0.453, threshold: [0.63549512 1.97187705 2.31132638 1.5766046  4.84235659], score:0.769, best:0.798, date:May25_04-36-04
epoch:23, train:0.550, valid:0.403, threshold: [0.77393195 1.57221277 2.59818731 1.87235527 3.61551177], score:0.798, best:0.798, date:May25_04-48-19
