available cuda: 2
loading data: May24_23-58-11
data loaded: May25_00-02-57
training started: May25_00-02-57
epoch:00, train:1.087, valid:19.073, threshold: [ 0.53935703  1.84038157 -0.2173664   3.45718419  1.15048752], score:0.098, best:0.098, date:May25_00-15-26
epoch:01, train:0.840, valid:0.615, threshold: [0.88660864 1.39155954 2.76570627 1.87525159 2.04200936], score:0.668, best:0.668, date:May25_00-27-40
epoch:02, train:0.793, valid:0.802, threshold: [0.62189507 1.21556543 1.74257175 2.49649014 4.90091561], score:0.602, best:0.668, date:May25_00-39-53
epoch:03, train:0.753, valid:0.669, threshold: [0.82097052 1.16356782 2.05417516 1.58436244 3.81535716], score:0.660, best:0.668, date:May25_00-52-07
epoch:04, train:0.740, valid:0.625, threshold: [0.83552124 1.68991163 1.15190237 2.06439092 4.54923125], score:0.680, best:0.680, date:May25_01-04-20
epoch:05, train:0.723, valid:0.507, threshold: [0.67876002 1.7362506  2.03630679 2.80859082 3.80587698], score:0.739, best:0.739, date:May25_01-16-33
epoch:06, train:0.692, valid:0.554, threshold: [0.64950704 1.39775002 2.86130068 2.16962715 4.27238692], score:0.699, best:0.739, date:May25_01-28-45
epoch:07, train:0.705, valid:0.634, threshold: [0.63101228 1.49549235 2.52619909 2.81011417 4.04822203], score:0.612, best:0.739, date:May25_01-40-58
epoch:08, train:0.684, valid:0.592, threshold: [0.76444513 1.64901846 2.23926524 1.2845     4.47422108], score:0.662, best:0.739, date:May25_01-53-11
epoch:09, train:0.659, valid:0.568, threshold: [0.77604305 1.66718112 1.39081673 2.81807461 3.56605603], score:0.712, best:0.739, date:May25_02-05-23
epoch:10, train:0.661, valid:0.640, threshold: [0.70967269 1.32613886 0.51945422 2.08818264 6.67926578], score:0.721, best:0.739, date:May25_02-17-35
epoch:11, train:0.651, valid:0.494, threshold: [0.52296374 1.54727416 2.44671793 3.31359777 4.44486487], score:0.767, best:0.767, date:May25_02-29-47
epoch:12, train:0.644, valid:0.467, threshold: [0.65726779 1.64993362 2.63948508 2.11912719 3.47288884], score:0.742, best:0.767, date:May25_02-42-01
epoch:13, train:0.651, valid:0.519, threshold: [0.64453084 1.41968204 1.67994383 2.36498173 4.86348482], score:0.732, best:0.767, date:May25_02-54-14
epoch:14, train:0.647, valid:0.450, threshold: [0.67436688 1.4883594  2.02162725 2.99699244 3.89920092], score:0.767, best:0.767, date:May25_03-06-26
epoch:15, train:0.605, valid:0.473, threshold: [0.71794089 1.36963588 2.02212593 1.72492939 4.81995139], score:0.770, best:0.770, date:May25_03-18-38
epoch:16, train:0.604, valid:0.446, threshold: [0.711297   1.50245737 2.02938072 2.65614129 3.45496776], score:0.768, best:0.770, date:May25_03-30-51
epoch:17, train:0.602, valid:0.428, threshold: [0.76522777 1.91224932 2.63246823 1.44468558 3.26668603], score:0.794, best:0.794, date:May25_03-43-04
epoch:18, train:0.594, valid:0.446, threshold: [0.82712643 1.84778919 2.56030652 1.45406212 3.45770083], score:0.795, best:0.795, date:May25_03-55-18
epoch:19, train:0.577, valid:0.441, threshold: [0.7439725  1.70365125 1.24628893 2.32839089 4.87536417], score:0.787, best:0.795, date:May25_04-07-31
epoch:20, train:0.579, valid:0.400, threshold: [0.67287594 1.52270465 2.04575219 2.95538706 3.6976851 ], score:0.801, best:0.801, date:May25_04-19-43
epoch:21, train:0.576, valid:0.415, threshold: [0.74740637 1.92634087 2.27453626 1.41435574 3.48427053], score:0.800, best:0.801, date:May25_04-31-57
epoch:22, train:0.574, valid:0.395, threshold: [0.76752961 1.50037991 2.30213847 1.96364272 3.39397082], score:0.809, best:0.809, date:May25_04-44-10
epoch:23, train:0.563, valid:0.481, threshold: [0.71768572 1.89344592 1.5268544  1.07242146 5.82867027], score:0.776, best:0.809, date:May25_04-56-23
epoch:24, train:0.564, valid:0.456, threshold: [0.71852736 1.60720277 1.46377254 2.48449853 5.10830925], score:0.803, best:0.809, date:May25_05-08-35
epoch:25, train:0.560, valid:0.411, threshold: [0.75300049 1.85048107 2.28363318 1.37855873 3.68857146], score:0.820, best:0.820, date:May25_05-20-47
epoch:26, train:0.572, valid:0.431, threshold: [0.71575071 1.84249137 1.32654357 2.25953924 4.77649345], score:0.800, best:0.820, date:May25_05-33-02
epoch:27, train:0.575, valid:0.399, threshold: [0.71003781 1.47302585 2.07122526 2.73240176 4.15223481], score:0.814, best:0.820, date:May25_05-45-15
epoch:28, train:0.552, valid:0.411, threshold: [0.72424084 1.88268207 2.58994312 1.31562864 3.20688034], score:0.821, best:0.821, date:May25_05-57-28
epoch:29, train:0.545, valid:0.420, threshold: [0.61831574 1.50936655 2.44071987 1.91234001 4.38370852], score:0.790, best:0.821, date:May25_06-09-41
epoch:30, train:0.538, valid:0.380, threshold: [0.66843643 1.71251194 2.00636046 2.6825021  3.76767668], score:0.827, best:0.827, date:May25_06-21-55
epoch:31, train:0.522, valid:0.363, threshold: [0.68539972 1.57242964 2.47416409 2.04154081 3.28402534], score:0.828, best:0.828, date:May25_06-34-10
epoch:32, train:0.528, valid:0.400, threshold: [0.90376035 1.54838741 2.01662105 2.45431717 3.45753567], score:0.836, best:0.836, date:May25_06-46-24
epoch:33, train:0.516, valid:0.391, threshold: [0.61532827 1.70118719 2.37993052 1.28704188 4.70461428], score:0.820, best:0.836, date:May25_06-58-39
epoch:34, train:0.520, valid:0.352, threshold: [0.76491247 1.69467333 2.0449725  2.46215191 3.82677518], score:0.835, best:0.836, date:May25_07-10-52
epoch:35, train:0.509, valid:0.343, threshold: [0.63364623 1.71109233 2.2018968  2.88936353 3.69442519], score:0.833, best:0.836, date:May25_07-23-07
epoch:36, train:0.519, valid:0.391, threshold: [0.83525377 1.62938975 2.13057574 2.69247953 3.3112656 ], score:0.836, best:0.836, date:May25_07-35-21
epoch:37, train:0.510, valid:0.369, threshold: [0.67646097 1.93075932 1.43007953 2.46540639 3.31720353], score:0.835, best:0.836, date:May25_07-47-35
epoch:38, train:0.498, valid:0.394, threshold: [0.70471137 1.78221722 1.32700339 2.49045461 3.31393724], score:0.839, best:0.839, date:May25_07-59-50
epoch:39, train:0.504, valid:0.393, threshold: [0.75634764 1.92662926 1.74831447 1.32426007 3.5095071 ], score:0.835, best:0.839, date:May25_08-12-06
epoch:40, train:0.512, valid:0.346, threshold: [0.67099066 1.52691106 1.97358897 2.93599159 3.73999756], score:0.842, best:0.842, date:May25_08-24-21
epoch:41, train:0.496, valid:0.364, threshold: [0.66653669 1.61834214 2.611993   2.14128577 3.64890549], score:0.827, best:0.842, date:May25_08-36-36
epoch:42, train:0.517, valid:0.343, threshold: [0.72718924 1.55261154 2.70802224 1.99811746 3.59314582], score:0.845, best:0.845, date:May25_08-48-52
epoch:43, train:0.505, valid:0.354, threshold: [0.74306277 1.60684628 1.88844215 2.61309617 3.53698914], score:0.839, best:0.845, date:May25_09-01-08
epoch:44, train:0.487, valid:0.375, threshold: [0.70487023 1.35604308 2.57326132 1.81002847 3.52560322], score:0.842, best:0.845, date:May25_09-13-23
epoch:45, train:0.487, valid:0.327, threshold: [0.71126538 1.37505443 2.10847122 2.88130781 3.48415937], score:0.849, best:0.849, date:May25_09-25-40
epoch:46, train:0.494, valid:0.373, threshold: [0.65924356 1.50876189 2.52341195 1.88631399 5.05584144], score:0.826, best:0.849, date:May25_09-37-57
epoch:47, train:0.496, valid:0.337, threshold: [0.76225662 1.96345396 2.38072693 1.51914104 3.41515488], score:0.845, best:0.849, date:May25_09-50-15
epoch:48, train:0.483, valid:0.339, threshold: [0.754822   1.51685155 2.15839938 2.65021393 3.66022086], score:0.843, best:0.849, date:May25_10-02-31
epoch:49, train:0.485, valid:0.338, threshold: [0.72973737 1.37431782 2.52938518 1.90876729 3.40345217], score:0.845, best:0.849, date:May25_10-14-47
epoch:50, train:0.491, valid:0.327, threshold: [0.64784378 1.46560739 2.08482841 2.76949176 3.67075061], score:0.854, best:0.854, date:May25_10-27-04
epoch:51, train:0.493, valid:0.346, threshold: [0.67785691 1.56257444 2.01141418 2.74086236 4.38824646], score:0.836, best:0.854, date:May25_10-39-22
epoch:52, train:0.481, valid:0.355, threshold: [0.68706572 1.82445731 2.77452957 1.38929328 3.41363251], score:0.846, best:0.854, date:May25_10-51-38
epoch:53, train:0.475, valid:0.360, threshold: [0.64583327 1.9698063  1.31796039 2.43753257 3.21703119], score:0.852, best:0.854, date:May25_11-03-56
