training started: May03_15-12-24
epoch: 0, best score: 0.6737207153255114, date: May03_15-20-12
epoch: 1, best score: 0.6821479868839415, date: May03_15-27-59
epoch: 2, best score: 0.6892367032915794, date: May03_15-35-47
epoch: 5, best score: 0.7117414992787987, date: May03_15-59-09
epoch: 7, best score: 0.7261633201156068, date: May03_16-14-43
epoch: 8, best score: 0.7318393989531465, date: May03_16-22-30
epoch: 10, best score: 0.7393603788928361, date: May03_16-38-03
epoch: 12, best score: 0.7399414306117236, date: May03_16-53-40
epoch: 13, best score: 0.7434681306924981, date: May03_17-01-27
epoch: 16, best score: 0.755175478926427, date: May03_17-24-48
epoch: 20, best score: 0.7577867114636522, date: May03_17-55-54
epoch: 31, best score: 0.7586723559865503, date: May03_19-21-33
epoch: 33, best score: 0.7666782456929744, date: May03_19-37-08
epoch: 41, best score: 0.7705200373641401, date: May03_20-39-27
epoch: 48, best score: 0.7734022571292778, date: May03_21-33-56
epoch: 56, best score: 0.7784387109315025, date: May03_22-36-27
