training started: May09_18-18-16
epoch: 0, best score: 0.5536044256078385, date: May09_18-22-39
epoch: 1, best score: 0.5671417083162373, date: May09_18-26-58
epoch: 2, best score: 0.6849820620822311, date: May09_18-31-17
epoch: 3, best score: 0.7285780206910764, date: May09_18-35-37
epoch: 5, best score: 0.7447129545641087, date: May09_18-44-16
epoch: 10, best score: 0.7513469178106174, date: May09_19-05-54
epoch: 11, best score: 0.7538077716746912, date: May09_19-10-14
epoch: 13, best score: 0.7593889956478141, date: May09_19-18-54
epoch: 15, best score: 0.7690520891382833, date: May09_19-27-34
epoch: 17, best score: 0.7786864163683203, date: May09_19-36-16
epoch: 19, best score: 0.7841019875571821, date: May09_19-44-57
epoch: 22, best score: 0.8029382876119144, date: May09_19-57-59
epoch: 35, best score: 0.8148853993393492, date: May09_20-54-30
epoch: 39, best score: 0.8233328128375785, date: May09_21-11-54
epoch: 53, best score: 0.8251219748221026, date: May09_22-12-48
epoch: 62, best score: 0.8271686451594382, date: May09_22-51-58
epoch: 84, best score: 0.831882454136031, date: May10_00-27-38
epoch: 97, best score: 0.8346867832873481, date: May10_01-24-09
training finished: May10_01-32-51
