training started: May11_00-16-16
epoch:00, train:0.335, valid:0.423, best:0.423, date:May11_00-22-05
epoch:01, train:0.550, valid:0.499, best:0.499, date:May11_00-27-50
epoch:02, train:0.602, valid:0.600, best:0.600, date:May11_00-33-35
epoch:03, train:0.622, valid:0.662, best:0.662, date:May11_00-39-21
epoch:04, train:0.641, valid:0.680, best:0.680, date:May11_00-45-06
epoch:05, train:0.635, valid:0.694, best:0.694, date:May11_00-50-51
epoch:06, train:0.649, valid:0.720, best:0.720, date:May11_00-56-37
epoch:07, train:0.657, valid:0.717, best:0.720, date:May11_01-02-23
epoch:08, train:0.662, valid:0.720, best:0.720, date:May11_01-08-08
epoch:09, train:0.668, valid:0.734, best:0.734, date:May11_01-13-54
epoch:10, train:0.688, valid:0.749, best:0.749, date:May11_01-19-39
epoch:11, train:0.695, valid:0.716, best:0.749, date:May11_01-25-25
epoch:12, train:0.697, valid:0.740, best:0.749, date:May11_01-31-11
epoch:13, train:0.706, valid:0.683, best:0.749, date:May11_01-36-56
epoch:14, train:0.698, valid:0.735, best:0.749, date:May11_01-42-43
epoch:15, train:0.702, valid:0.762, best:0.762, date:May11_01-48-29
epoch:16, train:0.717, valid:0.716, best:0.762, date:May11_01-54-16
epoch:17, train:0.699, valid:0.776, best:0.776, date:May11_02-00-04
epoch:18, train:0.710, valid:0.752, best:0.776, date:May11_02-05-51
epoch:19, train:0.716, valid:0.770, best:0.776, date:May11_02-11-38
epoch:20, train:0.709, valid:0.761, best:0.776, date:May11_02-17-25
epoch:21, train:0.715, valid:0.726, best:0.776, date:May11_02-23-11
epoch:22, train:0.722, valid:0.768, best:0.776, date:May11_02-28-58
epoch:23, train:0.726, valid:0.762, best:0.776, date:May11_02-34-45
epoch:24, train:0.717, valid:0.763, best:0.776, date:May11_02-40-32
epoch:25, train:0.726, valid:0.750, best:0.776, date:May11_02-46-19
epoch:26, train:0.729, valid:0.745, best:0.776, date:May11_02-52-07
epoch:27, train:0.731, valid:0.767, best:0.776, date:May11_02-57-54
epoch:28, train:0.722, valid:0.760, best:0.776, date:May11_03-03-41
epoch:29, train:0.733, valid:0.754, best:0.776, date:May11_03-09-29
epoch:30, train:0.742, valid:0.790, best:0.790, date:May11_03-15-16
epoch:31, train:0.750, valid:0.791, best:0.791, date:May11_03-21-04
epoch:32, train:0.752, valid:0.766, best:0.791, date:May11_03-26-52
epoch:33, train:0.758, valid:0.778, best:0.791, date:May11_03-32-39
epoch:34, train:0.759, valid:0.784, best:0.791, date:May11_03-38-26
epoch:35, train:0.770, valid:0.786, best:0.791, date:May11_03-44-13
epoch:36, train:0.771, valid:0.781, best:0.791, date:May11_03-49-59
epoch:37, train:0.769, valid:0.775, best:0.791, date:May11_03-55-48
epoch:38, train:0.768, valid:0.773, best:0.791, date:May11_04-01-34
epoch:39, train:0.772, valid:0.769, best:0.791, date:May11_04-07-22
epoch:40, train:0.774, valid:0.771, best:0.791, date:May11_04-13-09
epoch:41, train:0.777, valid:0.780, best:0.791, date:May11_04-18-57
epoch:42, train:0.779, valid:0.791, best:0.791, date:May11_04-24-44
epoch:43, train:0.774, valid:0.785, best:0.791, date:May11_04-30-32
epoch:44, train:0.781, valid:0.785, best:0.791, date:May11_04-36-19
epoch:45, train:0.778, valid:0.756, best:0.791, date:May11_04-42-06
epoch:46, train:0.769, valid:0.782, best:0.791, date:May11_04-47-53
epoch:47, train:0.782, valid:0.776, best:0.791, date:May11_04-53-40
epoch:48, train:0.787, valid:0.789, best:0.791, date:May11_04-59-27
epoch:49, train:0.786, valid:0.793, best:0.793, date:May11_05-05-15
epoch:50, train:0.788, valid:0.790, best:0.793, date:May11_05-11-02
epoch:51, train:0.790, valid:0.779, best:0.793, date:May11_05-16-49
epoch:52, train:0.791, valid:0.765, best:0.793, date:May11_05-22-37
epoch:53, train:0.789, valid:0.798, best:0.798, date:May11_05-28-24
epoch:54, train:0.796, valid:0.794, best:0.798, date:May11_05-34-12
epoch:55, train:0.791, valid:0.794, best:0.798, date:May11_05-40-00
epoch:56, train:0.792, valid:0.777, best:0.798, date:May11_05-45-47
epoch:57, train:0.799, valid:0.786, best:0.798, date:May11_05-51-34
epoch:58, train:0.799, valid:0.765, best:0.798, date:May11_05-57-21
epoch:59, train:0.798, valid:0.788, best:0.798, date:May11_06-03-09
epoch:60, train:0.808, valid:0.779, best:0.798, date:May11_06-08-56
epoch:61, train:0.811, valid:0.804, best:0.804, date:May11_06-14-43
epoch:62, train:0.816, valid:0.772, best:0.804, date:May11_06-20-30
epoch:63, train:0.816, valid:0.799, best:0.804, date:May11_06-26-16
epoch:64, train:0.818, valid:0.795, best:0.804, date:May11_06-32-04
epoch:65, train:0.822, valid:0.801, best:0.804, date:May11_06-37-51
epoch:66, train:0.821, valid:0.791, best:0.804, date:May11_06-43-38
epoch:67, train:0.823, valid:0.796, best:0.804, date:May11_06-49-25
epoch:68, train:0.820, valid:0.790, best:0.804, date:May11_06-55-12
epoch:69, train:0.828, valid:0.783, best:0.804, date:May11_07-00-58
epoch:70, train:0.828, valid:0.802, best:0.804, date:May11_07-06-45
