available cuda: cuda
loading data: May17_12-54-37
data loaded: May17_12-59-02
mean: [0.79900379 0.58860335 0.72537097]
std: [0.16735794 0.25441445 0.17111448]
training started: May17_12-59-02
epoch:00, train:0.404, valid:0.577, best:0.577, date:May17_13-15-43
epoch:01, train:0.515, valid:0.458, best:0.577, date:May17_13-32-22
epoch:02, train:0.560, valid:0.553, best:0.577, date:May17_13-49-01
epoch:03, train:0.520, valid:0.461, best:0.577, date:May17_14-05-41
epoch:04, train:0.562, valid:0.661, best:0.661, date:May17_14-22-21
epoch:05, train:0.575, valid:0.725, best:0.725, date:May17_14-39-03
epoch:06, train:0.597, valid:0.644, best:0.725, date:May17_14-55-44
epoch:07, train:0.625, valid:0.637, best:0.725, date:May17_15-12-24
epoch:08, train:0.615, valid:0.673, best:0.725, date:May17_15-29-05
epoch:09, train:0.606, valid:0.708, best:0.725, date:May17_15-45-45
epoch:10, train:0.633, valid:0.553, best:0.725, date:May17_16-02-27
epoch:11, train:0.638, valid:0.736, best:0.736, date:May17_16-19-07
epoch:12, train:0.640, valid:0.683, best:0.736, date:May17_16-35-49
epoch:13, train:0.638, valid:0.763, best:0.763, date:May17_16-52-29
epoch:14, train:0.643, valid:0.767, best:0.767, date:May17_17-09-10
epoch:15, train:0.663, valid:0.642, best:0.767, date:May17_17-25-49
