available cuda: cuda
loading data: May14_04-20-37
training started: May14_04-23-05
epoch:00, train:0.329, valid:0.167, best:0.167, date:May14_04-39-43
epoch:01, train:0.196, valid:0.462, best:0.462, date:May14_04-56-14
epoch:02, train:0.289, valid:0.240, best:0.462, date:May14_05-12-45
epoch:03, train:0.332, valid:0.323, best:0.462, date:May14_05-29-17
epoch:04, train:0.323, valid:0.385, best:0.462, date:May14_05-45-49
epoch:05, train:0.282, valid:0.430, best:0.462, date:May14_06-02-22
epoch:06, train:0.282, valid:0.306, best:0.462, date:May14_06-18-54
epoch:07, train:0.259, valid:0.248, best:0.462, date:May14_06-35-26
epoch:08, train:0.269, valid:0.362, best:0.462, date:May14_06-51-57
epoch:09, train:0.307, valid:0.299, best:0.462, date:May14_07-08-29
epoch:10, train:0.298, valid:0.450, best:0.462, date:May14_07-25-01
epoch:11, train:0.373, valid:0.421, best:0.462, date:May14_07-41-34
epoch:12, train:0.357, valid:0.359, best:0.462, date:May14_07-58-07
epoch:13, train:0.336, valid:0.346, best:0.462, date:May14_08-14-39
epoch:14, train:0.388, valid:0.483, best:0.483, date:May14_08-31-12
epoch:15, train:0.446, valid:0.543, best:0.543, date:May14_08-47-45
epoch:16, train:0.410, valid:0.556, best:0.556, date:May14_09-04-17
