available cuda: 2
training started: Jun06_16-53-31
epoch:00, train:0.925, valid:0.710, threshold: [0.63326391 0.9089794  1.43826707 1.97699837 6.2114195 ], score:0.613, best:0.613, date:Jun06_17-04-43
epoch:01, train:0.717, valid:0.590, threshold: [0.82671769 1.31341972 1.69217786 2.17116    2.68765812], score:0.718, best:0.718, date:Jun06_17-15-49
epoch:02, train:0.659, valid:0.581, threshold: [0.57430064 1.59633233 2.40943739 2.85150764 4.78454227], score:0.663, best:0.718, date:Jun06_17-26-52
epoch:03, train:0.628, valid:0.462, threshold: [0.69606009 1.60885939 2.1681069  2.4338573  3.31604179], score:0.762, best:0.762, date:Jun06_17-37-56
epoch:04, train:0.616, valid:0.512, threshold: [0.61711438 1.54012734 1.98194163 2.50547747 4.86629797], score:0.725, best:0.762, date:Jun06_17-49-02
epoch:05, train:0.633, valid:0.786, threshold: [0.69369005 1.1477868  1.75468859 2.31992961 5.13717793], score:0.757, best:0.762, date:Jun06_18-00-08
epoch:06, train:0.614, valid:2.509, threshold: [0.79101303 1.46373926 1.85192056 2.28679716 2.53930131], score:0.549, best:0.762, date:Jun06_18-11-13
epoch:07, train:0.611, valid:0.498, threshold: [0.55454579 1.64382664 1.96228135 2.41371278 4.59430266], score:0.715, best:0.762, date:Jun06_18-22-20
epoch:08, train:0.602, valid:0.529, threshold: [0.74426942 1.21805283 1.96468856 2.30681422 3.40185548], score:0.778, best:0.778, date:Jun06_18-33-22
epoch:09, train:0.634, valid:2.871, threshold: [0.81720962 1.46372675 1.79813517 2.01103221 2.72174475], score:0.517, best:0.778, date:Jun06_18-44-24
epoch:10, train:0.560, valid:0.470, threshold: [0.80160865 1.33527372 1.91228861 2.17682781 3.17503169], score:0.788, best:0.788, date:Jun06_18-55-30
epoch:11, train:0.561, valid:0.752, threshold: [0.67818728 1.53278092 1.77839772 2.41621334 5.15194116], score:0.580, best:0.788, date:Jun06_19-06-37
epoch:12, train:0.563, valid:0.454, threshold: [0.64994373 1.5189069  2.36568438 2.98583302 4.01879918], score:0.766, best:0.788, date:Jun06_19-17-42
epoch:13, train:0.570, valid:5.187, threshold: [1.19715856 1.66542787 1.94353846 2.49615785 2.67641939], score:0.705, best:0.788, date:Jun06_19-28-47
epoch:14, train:0.549, valid:0.839, threshold: [0.75011782 1.46965563 1.91775697 2.2473064  5.18111822], score:0.738, best:0.788, date:Jun06_19-39-52
epoch:15, train:0.540, valid:3.372, threshold: [0.83097626 1.58657974 1.86863102 2.17113802 4.79288722], score:0.668, best:0.788, date:Jun06_19-50-57
epoch:16, train:0.546, valid:1.470, threshold: [0.73298226 1.35952588 1.93164728 2.73471585 3.39833616], score:0.768, best:0.788, date:Jun06_20-02-04
epoch:17, train:0.527, valid:0.516, threshold: [0.64225823 1.72566184 1.93922559 2.34344885 4.98131693], score:0.780, best:0.788, date:Jun06_20-13-09
epoch:18, train:0.536, valid:0.422, threshold: [0.63656132 1.80710059 2.04375776 2.45473288 4.81462907], score:0.799, best:0.799, date:Jun06_20-24-15
epoch:19, train:0.546, valid:0.425, threshold: [0.69258942 1.55625361 2.15068893 2.51243654 4.46427312], score:0.806, best:0.806, date:Jun06_20-35-21
epoch:20, train:0.535, valid:0.403, threshold: [0.63740915 1.5334552  2.18604575 2.45153721 4.56336675], score:0.809, best:0.809, date:Jun06_20-46-29
epoch:21, train:0.524, valid:0.399, threshold: [0.63465743 1.86384603 2.29593408 2.85119841 3.42652629], score:0.812, best:0.812, date:Jun06_20-57-35
epoch:22, train:0.513, valid:0.432, threshold: [0.67481872 1.52304434 1.83099222 2.51208517 4.97195215], score:0.799, best:0.812, date:Jun06_21-08-38
epoch:23, train:0.513, valid:0.377, threshold: [0.75623188 1.34919952 2.11499909 2.4399951  3.4511206 ], score:0.839, best:0.839, date:Jun06_21-19-43
epoch:24, train:0.514, valid:0.420, threshold: [0.86331688 1.55170346 1.99257184 2.75448302 3.51231749], score:0.823, best:0.839, date:Jun06_21-30-44
epoch:25, train:0.516, valid:0.390, threshold: [0.70552976 1.42634092 1.89152035 2.49999653 4.24426935], score:0.831, best:0.839, date:Jun06_21-41-49
epoch:26, train:0.519, valid:0.398, threshold: [0.71779171 1.40082675 1.83954211 2.45735459 4.59171731], score:0.813, best:0.839, date:Jun06_21-52-54
epoch:27, train:0.504, valid:0.444, threshold: [0.8962351  1.52155561 1.96114048 2.51211972 3.35747927], score:0.820, best:0.839, date:Jun06_22-03-58
epoch:28, train:0.501, valid:0.403, threshold: [0.90028481 1.72700537 2.29568053 3.02932285 3.74196321], score:0.825, best:0.839, date:Jun06_22-15-03
