available cuda: 2
training started: Jun03_10-28-45
epoch:00, train:0.998, valid:0.549, threshold: [0.69813815 1.57034602 2.466869   2.61828282 3.21103209], score:0.715, best:0.715, date:Jun03_10-40-24
epoch:01, train:0.723, valid:0.806, threshold: [0.63385547 1.58254169 1.81711258 2.72720879 4.72835343], score:0.706, best:0.715, date:Jun03_10-51-54
epoch:02, train:0.716, valid:0.586, threshold: [0.88671668 1.33603036 2.06945328 2.86281774 3.75038805], score:0.727, best:0.727, date:Jun03_11-03-24
epoch:03, train:0.669, valid:0.673, threshold: [0.68035374 1.45239849 1.94541213 2.76117988 4.71432019], score:0.653, best:0.727, date:Jun03_11-14-55
epoch:04, train:0.669, valid:0.655, threshold: [0.70499913 1.62239765 2.15508012 2.55506626 4.15038345], score:0.742, best:0.742, date:Jun03_11-26-25
epoch:05, train:0.665, valid:0.460, threshold: [0.61335379 1.56984358 2.20033886 2.86801975 4.07968901], score:0.784, best:0.784, date:Jun03_11-37-55
epoch:06, train:0.635, valid:0.556, threshold: [0.78982165 1.31885705 1.64720879 2.29475949 3.76932999], score:0.769, best:0.784, date:Jun03_11-49-27
epoch:07, train:0.630, valid:0.572, threshold: [0.64480581 1.62666614 1.78550624 2.54316476 5.18111736], score:0.766, best:0.784, date:Jun03_12-01-01
epoch:08, train:0.630, valid:0.488, threshold: [0.61146513 1.57110033 2.1198986  2.52851371 4.93070178], score:0.778, best:0.784, date:Jun03_12-12-32
epoch:09, train:0.618, valid:0.993, threshold: [0.50831172 1.4816776  2.39382655 3.72451174 4.3888357 ], score:0.623, best:0.784, date:Jun03_12-24-02
epoch:10, train:0.588, valid:0.444, threshold: [0.64822405 1.45472409 1.66228862 2.56976873 4.7499429 ], score:0.800, best:0.800, date:Jun03_12-35-36
epoch:11, train:0.577, valid:0.519, threshold: [0.70872697 1.38782061 1.65680518 2.30816442 4.79380528], score:0.809, best:0.809, date:Jun03_12-47-10
epoch:12, train:0.553, valid:0.477, threshold: [0.80794032 1.37261422 1.56411798 2.23495937 3.97573425], score:0.815, best:0.815, date:Jun03_12-58-41
epoch:13, train:0.575, valid:0.454, threshold: [0.74782989 1.27676508 1.65256434 2.11335262 6.11441063], score:0.814, best:0.815, date:Jun03_13-10-12
epoch:14, train:0.556, valid:0.503, threshold: [0.68858754 1.55318926 1.9187257  2.57576703 4.61146759], score:0.796, best:0.815, date:Jun03_13-21-45
epoch:15, train:0.561, valid:0.522, threshold: [0.55846023 1.53553215 2.25133159 3.26956568 4.50160391], score:0.808, best:0.815, date:Jun03_13-33-20
epoch:16, train:0.553, valid:0.391, threshold: [0.61763239 1.39205451 1.99063897 2.4810028  4.75407513], score:0.796, best:0.815, date:Jun03_13-44-52
epoch:17, train:0.556, valid:0.458, threshold: [0.67468469 1.34913753 1.78128358 1.95202943 5.52460016], score:0.806, best:0.815, date:Jun03_13-56-23
epoch:18, train:0.541, valid:0.362, threshold: [0.58667051 1.71542242 2.50360267 2.91995937 4.16396496], score:0.821, best:0.821, date:Jun03_14-07-56
epoch:19, train:0.554, valid:0.495, threshold: [0.53653957 1.62525215 2.57409573 3.21468926 4.87542548], score:0.807, best:0.821, date:Jun03_14-19-27
epoch:20, train:0.525, valid:0.352, threshold: [0.70187334 1.40314232 1.85239426 2.41621981 3.65479579], score:0.837, best:0.837, date:Jun03_14-31-02
