available cuda: 2
training started: May27_09-59-53
epoch:00, train:1.046, valid:0.724, threshold: [0.7422899  1.04077318 1.37341005 2.01220737 5.79195108], score:0.639, best:0.639, date:May27_10-11-09
epoch:01, train:0.776, valid:0.539, threshold: [0.5666185  1.70688082 2.44211507 3.12359116 3.96006873], score:0.719, best:0.719, date:May27_10-22-20
epoch:02, train:0.696, valid:0.586, threshold: [0.85300775 1.44560146 1.57398217 2.01740446 5.26245756], score:0.722, best:0.722, date:May27_10-33-31
epoch:03, train:0.674, valid:0.501, threshold: [0.65424077 1.18046388 1.73498918 2.42309385 5.17239207], score:0.769, best:0.769, date:May27_10-44-42
epoch:04, train:0.660, valid:0.474, threshold: [0.73643095 1.43380314 1.82401116 2.56608441 3.7751827 ], score:0.774, best:0.774, date:May27_10-55-55
epoch:05, train:0.647, valid:0.520, threshold: [0.46923122 1.13869452 1.99761507 2.31558173 6.46519781], score:0.716, best:0.774, date:May27_11-07-06
epoch:06, train:0.648, valid:0.469, threshold: [0.75800065 1.18938087 1.80579959 2.57260757 3.82419029], score:0.800, best:0.800, date:May27_11-18-20
epoch:07, train:0.624, valid:0.453, threshold: [0.61364881 1.54129901 2.07207319 2.594083   4.89411127], score:0.756, best:0.800, date:May27_11-29-35
epoch:08, train:0.614, valid:0.455, threshold: [0.80965528 1.32865111 1.69034618 2.1744885  3.48045728], score:0.796, best:0.800, date:May27_11-40-49
epoch:09, train:0.602, valid:0.483, threshold: [0.65974818 1.63451295 1.86290885 2.43010089 3.71436288], score:0.763, best:0.800, date:May27_11-52-02
epoch:10, train:0.597, valid:0.448, threshold: [0.75718056 1.48197666 2.53787475 2.79001209 3.63139632], score:0.765, best:0.800, date:May27_12-03-17
epoch:11, train:0.616, valid:0.466, threshold: [0.66515925 1.49230038 1.82614292 2.45748335 5.01413001], score:0.777, best:0.800, date:May27_12-14-31
epoch:12, train:0.587, valid:0.465, threshold: [0.77449819 1.25311486 2.02303703 2.40237258 2.98922967], score:0.809, best:0.809, date:May27_12-25-47
epoch:13, train:0.598, valid:0.463, threshold: [0.78259584 1.21670684 1.73417546 2.24407541 2.91355075], score:0.820, best:0.820, date:May27_12-37-02
epoch:14, train:0.591, valid:0.471, threshold: [0.81656686 1.6175242  2.01688013 2.36177204 2.89955266], score:0.800, best:0.820, date:May27_12-48-16
epoch:15, train:0.573, valid:0.419, threshold: [0.7001117  1.45214099 1.73103969 2.4590081  4.48662088], score:0.818, best:0.820, date:May27_12-59-30
epoch:16, train:0.538, valid:0.372, threshold: [0.69216024 1.61778386 2.13496057 2.64033058 3.87671117], score:0.831, best:0.831, date:May27_13-10-48
epoch:17, train:0.537, valid:0.405, threshold: [0.71621033 1.28757935 1.96946777 2.47604091 4.52700859], score:0.818, best:0.831, date:May27_13-22-03
epoch:18, train:0.535, valid:0.397, threshold: [0.79310875 1.1795151  1.88546735 2.15715429 4.47526822], score:0.820, best:0.831, date:May27_13-33-18
epoch:19, train:0.539, valid:0.449, threshold: [0.75482804 1.47507143 2.12546962 2.77329664 3.98823887], score:0.831, best:0.831, date:May27_13-44-34
epoch:20, train:0.539, valid:0.372, threshold: [0.71688517 1.5905512  2.08490794 2.49251362 3.53112343], score:0.835, best:0.835, date:May27_13-55-45
epoch:21, train:0.521, valid:0.372, threshold: [0.74032007 1.34039036 1.80994803 2.44445462 3.39700027], score:0.839, best:0.839, date:May27_14-06-58
epoch:22, train:0.531, valid:0.373, threshold: [0.66887711 1.41928752 2.10035304 2.41283652 4.51301765], score:0.808, best:0.839, date:May27_14-18-12
epoch:23, train:0.533, valid:0.403, threshold: [0.6277084  1.36407143 1.8365852  2.38307061 4.71004141], score:0.815, best:0.839, date:May27_14-29-27
epoch:24, train:0.523, valid:0.337, threshold: [0.65531258 1.65821685 2.28762037 2.85754695 3.55773613], score:0.837, best:0.839, date:May27_14-40-47
epoch:25, train:0.521, valid:0.405, threshold: [0.66935667 1.23358407 1.62623015 2.19594967 6.128407  ], score:0.816, best:0.839, date:May27_14-52-03
epoch:26, train:0.520, valid:0.463, threshold: [0.69208149 1.17106979 1.79385122 2.51784988 4.70263948], score:0.823, best:0.839, date:May27_15-03-19
epoch:27, train:0.519, valid:0.416, threshold: [0.63350468 1.43887974 1.68321146 2.49745235 4.85300822], score:0.818, best:0.839, date:May27_15-14-39
epoch:28, train:0.517, valid:0.342, threshold: [0.75681161 1.25803126 1.91836514 2.285513   3.72541955], score:0.846, best:0.846, date:May27_15-25-52
epoch:29, train:0.510, valid:0.333, threshold: [0.96107749 1.68482375 2.19829963 2.77326428 3.86322535], score:0.849, best:0.849, date:May27_15-37-03
epoch:30, train:0.508, valid:0.342, threshold: [0.66085418 1.46464704 2.07073869 2.54340011 3.54742298], score:0.847, best:0.849, date:May27_15-48-15
epoch:31, train:0.483, valid:0.332, threshold: [0.67023345 1.5567839  2.05101817 2.89947032 3.66273989], score:0.846, best:0.849, date:May27_15-59-27
