available cuda: 2
loading data: May25_09-47-43
data loaded: May25_09-50-56
training started: May25_09-50-57
epoch:00, train:1.055, valid:0.594, threshold: [0.77814119 1.42612537 1.98108576 2.49990877 3.32576136], score:0.683, best:0.683, date:May25_10-02-10
epoch:01, train:0.760, valid:0.487, threshold: [0.68729068 1.52417646 2.05834362 2.7543566  3.52454517], score:0.750, best:0.750, date:May25_10-13-12
epoch:02, train:0.725, valid:0.575, threshold: [0.74494338 1.28062329 1.58450555 1.98612011 5.5071776 ], score:0.742, best:0.750, date:May25_10-24-14
epoch:03, train:0.674, valid:0.572, threshold: [0.62990152 1.41597118 1.89104806 2.52759133 4.97379591], score:0.735, best:0.750, date:May25_10-35-15
epoch:04, train:0.651, valid:0.598, threshold: [0.63545841 1.80709205 2.02184669 2.3392096  4.86389242], score:0.746, best:0.750, date:May25_10-46-17
epoch:05, train:0.645, valid:0.525, threshold: [0.59136918 1.6440622  2.17796989 2.49073741 4.82042908], score:0.735, best:0.750, date:May25_10-57-18
epoch:06, train:0.660, valid:0.546, threshold: [0.61830885 1.68607044 2.20226956 2.94233509 3.96740908], score:0.708, best:0.750, date:May25_11-08-20
epoch:07, train:0.648, valid:0.485, threshold: [0.60673318 1.79237701 2.24248884 2.59335029 4.53534105], score:0.759, best:0.759, date:May25_11-19-23
epoch:08, train:0.645, valid:0.512, threshold: [0.6718322  1.47506311 2.10484341 1.6370184  4.83706294], score:0.767, best:0.767, date:May25_11-30-25
epoch:09, train:0.625, valid:0.462, threshold: [0.58201462 1.5891641  2.37690729 3.13484707 4.34040397], score:0.787, best:0.787, date:May25_11-41-27
epoch:10, train:0.621, valid:0.526, threshold: [0.58985883 1.87203915 2.41765721 2.5842594  3.42716494], score:0.752, best:0.787, date:May25_11-52-29
epoch:11, train:0.604, valid:0.481, threshold: [0.66024207 1.41340271 2.53661234 1.69961172 5.42154337], score:0.782, best:0.787, date:May25_12-03-32
epoch:12, train:0.608, valid:0.521, threshold: [0.88433867 1.5331315  1.71100437 2.30098927 2.08462676], score:0.799, best:0.799, date:May25_12-14-35
epoch:13, train:0.596, valid:0.452, threshold: [0.7138507  1.50839826 2.61456085 2.07682124 3.15829893], score:0.778, best:0.799, date:May25_12-25-39
epoch:14, train:0.600, valid:0.455, threshold: [0.68551848 1.78847628 2.52661525 2.20551453 3.38972199], score:0.783, best:0.799, date:May25_12-36-41
epoch:15, train:0.569, valid:0.399, threshold: [0.69550775 1.841253   2.15085884 1.41190919 3.53233385], score:0.828, best:0.828, date:May25_12-47-44
epoch:16, train:0.565, valid:0.413, threshold: [0.62773014 1.38624446 1.89725795 2.3794043  5.22211057], score:0.808, best:0.828, date:May25_12-58-48
epoch:17, train:0.555, valid:0.392, threshold: [0.93041003 1.66839867 2.09971107 2.62109546 3.41313607], score:0.832, best:0.832, date:May25_13-09-52
epoch:18, train:0.548, valid:0.392, threshold: [0.75407327 1.51242077 1.94416299 2.56855267 3.42670554], score:0.830, best:0.832, date:May25_13-20-55
epoch:19, train:0.540, valid:0.429, threshold: [0.65429314 1.4274362  2.28510929 1.95678567 5.143825  ], score:0.802, best:0.832, date:May25_13-31-57
epoch:20, train:0.536, valid:0.453, threshold: [0.67489213 1.6681126  2.0847056  1.01993984 4.7524519 ], score:0.808, best:0.832, date:May25_13-43-00
epoch:21, train:0.537, valid:0.424, threshold: [0.64219155 1.61609016 2.47979839 1.91747266 5.01804124], score:0.802, best:0.832, date:May25_13-54-04
epoch:22, train:0.536, valid:0.351, threshold: [0.55874411 1.52520383 2.61355789 3.20948254 4.20590758], score:0.827, best:0.832, date:May25_14-05-06
epoch:23, train:0.531, valid:0.385, threshold: [0.65208585 1.58135538 2.42466973 2.09177518 4.49727059], score:0.810, best:0.832, date:May25_14-16-08
epoch:24, train:0.524, valid:0.396, threshold: [0.68655262 1.29964805 2.65356028 1.55811409 5.45837578], score:0.814, best:0.832, date:May25_14-27-10
epoch:25, train:0.528, valid:0.318, threshold: [0.61499669 1.53122956 2.25437565 2.99097009 4.07614191], score:0.840, best:0.840, date:May25_14-38-11
epoch:26, train:0.527, valid:0.344, threshold: [0.68977687 1.42597963 1.91236389 2.89435455 3.52178913], score:0.842, best:0.842, date:May25_14-49-13
