training started: May01_20-46-59
epoch: 0, best score: 0.6651459105756125, date: May01_20-58-08
epoch: 1, best score: 0.6844543197369082, date: May01_21-05-04
epoch: 2, best score: 0.711732477433761, date: May01_21-10-49
epoch: 4, best score: 0.7283336125662738, date: May01_21-24-15
epoch: 5, best score: 0.7470222687324706, date: May01_21-35-04
epoch: 7, best score: 0.7495202886355194, date: May01_21-58-23
epoch: 10, best score: 0.7620325031185774, date: May01_22-13-34
epoch: 11, best score: 0.7690472180218719, date: May01_22-20-45
epoch: 12, best score: 0.7832547922640952, date: May01_22-29-16
epoch: 35, best score: 0.7855056939693699, date: May02_01-42-53
epoch: 36, best score: 0.8006001594890498, date: May02_01-48-34
epoch: 38, best score: 0.8037275288695614, date: May02_01-54-45
epoch: 62, best score: 0.8080996012073837, date: May02_04-05-01
epoch: 67, best score: 0.8090586498343714, date: May02_04-36-39
epoch: 69, best score: 0.8098566337629401, date: May02_04-44-39
epoch: 75, best score: 0.821005497433277, date: May02_05-16-34
epoch: 97, best score: 0.8213657649378331, date: May02_08-07-12
epoch: 112, best score: 0.8236782292114377, date: May02_09-41-20
epoch: 118, best score: 0.82726639270409, date: May02_10-25-48
epoch: 131, best score: 0.8299213341786327, date: May02_11-21-22
epoch: 133, best score: 0.8368318950246372, date: May02_11-27-37
